Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,56,1:50:52.703,2,25
2,6,Nico Rosberg,Mercedes,56,+2.850,1,18
3,5,Sebastian Vettel,Ferrari,56,+3.381,13,15
4,33,Max Verstappen,Toro Rosso-Renault,56,+22.359,8,12
5,11,Sergio Pérez,Force India-Mercedes,56,+24.413,5,10
6,22,Jenson Button,McLaren-Honda,56,+28.058,11,8
7,55,Carlos Sainz Jr.,Toro Rosso-Renault,56,+30.619,20,6
8,13,Pastor Maldonado,Lotus-Mercedes,56,+32.273,12,4
9,12,Felipe Nasr,Sauber-Ferrari,56,+40.257,15,2
10,3,Daniel Ricciardo,Red Bull Racing-Renault,56,+53.571,3,1
11,14,Fernando Alonso,McLaren-Honda,56,+54.816,9,
12,53,Alexander Rossi,Marussia-Ferrari,56,+1:15.277,17,
Ret,26,Daniil Kvyat,Red Bull Racing-Renault,41,Accident,4,
Ret,27,Nico Hülkenberg,Force India-Mercedes,35,Collision,6,
Ret,9,Marcus Ericsson,Sauber-Ferrari,25,Electrical,14,
Ret,7,Kimi Räikkönen,Ferrari,25,Brakes,18,
Ret,19,Felipe Massa,Williams-Mercedes,23,Mechanical,7,
Ret,8,Romain Grosjean,Lotus-Mercedes,10,Brakes,10,
Ret,77,Valtteri Bottas,Williams-Mercedes,5,Mechanical,16,
Ret,28,Will Stevens,Marussia-Ferrari,1,Collision damage,19,
Source:
Total Laps,56
Fastest Lap,Nico Rosberg
