Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:28.586,1:26.894,1:26.327,1
2,6,Nico Rosberg,Mercedes,1:28.906,1:27.097,1:26.921,2
3,19,Felipe Massa,Williams-Mercedes,1:29.246,1:27.895,1:27.718,3
4,5,Sebastian Vettel,Ferrari,1:29.307,1:27.742,1:27.757,4
5,7,Kimi Räikkönen,Ferrari,1:29.754,1:27.807,1:27.790,5
6,77,Valtteri Bottas,Williams-Mercedes,1:29.641,1:27.796,1:28.087,—
7,3,Daniel Ricciardo,Red Bull Racing-Renault,1:29.788,1:28.679,1:28.329,6
8,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:29.597,1:28.601,1:28.510,7
9,8,Romain Grosjean,Lotus-Mercedes,1:29.537,1:28.589,1:28.560,8
10,13,Pastor Maldonado,Lotus-Mercedes,1:29.847,1:28.726,1:29.480,9
11,12,Felipe Nasr,Sauber-Ferrari,1:30.430,1:28.800,,10
12,33,Max Verstappen,Toro Rosso-Renault,1:29.248,1:28.868,,11
13,26,Daniil Kvyat,Red Bull Racing-Renault,1:30.402,1:29.070,,12
14,27,Nico Hülkenberg,Force India-Mercedes,1:29.651,1:29.208,,13
15,11,Sergio Pérez,Force India-Mercedes,1:29.990,1:29.209,,14
16,9,Marcus Ericsson,Sauber-Ferrari,1:31.376,,,15
17,22,Jenson Button,McLaren-Honda,1:31.422,,,16
18,20,Kevin Magnussen,McLaren-Honda,1:32.037,,,17
107% time: 1:34.787
DNP,28,Will Stevens,Marussia-Ferrari,no time,,,
DNP,98,Roberto Merhi,Marussia-Ferrari,no time,,,
Source:
