Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,44,Lewis Hamilton,Mercedes,70,1:31:53.145,1,25
2,6,Nico Rosberg,Mercedes,70,+2.285,2,18
3,77,Valtteri Bottas,Williams-Mercedes,70,+40.666,4,15
4,7,Kimi Räikkönen,Ferrari,70,+45.625,3,12
5,5,Sebastian Vettel,Ferrari,70,+49.903,18,10
6,19,Felipe Massa,Williams-Mercedes,70,+56.381,15,8
7,13,Pastor Maldonado,Lotus-Mercedes,70,+1:06.664,6,6
8,27,Nico Hülkenberg,Force India-Mercedes,69,+1 Lap,7,4
9,26,Daniil Kvyat,Red Bull Racing-Renault,69,+1 Lap,8,2
10,8,Romain Grosjean,Lotus-Mercedes,69,+1 Lap,5,1
11,11,Sergio Pérez,Force India-Mercedes,69,+1 Lap,10,
12,55,Carlos Sainz Jr.,Toro Rosso-Renault,69,+1 Lap,11,
13,3,Daniel Ricciardo,Red Bull Racing-Renault,69,+1 Lap,9,
14,9,Marcus Ericsson,Sauber-Ferrari,69,+1 Lap,12,
15,33,Max Verstappen,Toro Rosso-Renault,69,+1 Lap,19,
16,12,Felipe Nasr,Sauber-Ferrari,68,+2 Laps,14,
17,28,Will Stevens,Marussia-Ferrari,66,+4 Laps,17,
Ret,98,Roberto Merhi,Marussia-Ferrari,57,Driveshaft,16,
Ret,22,Jenson Button,McLaren-Honda,54,Exhaust,20,
Ret,14,Fernando Alonso,McLaren-Honda,44,Exhaust,13,
Source:
Total Laps,70
Fastest Lap,Kimi Räikkönen
