Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,5,Sebastian Vettel,Ferrari,69,1:46:09.985,3,25
2,26,Daniil Kvyat,Red Bull Racing-Renault,69,+15.748,7,18
3,3,Daniel Ricciardo,Red Bull Racing-Renault,69,+25.084,4,15
4,33,Max Verstappen,Toro Rosso-Renault,69,+44.251,9,12
5,14,Fernando Alonso,McLaren-Honda,69,+49.079,15,10
6,44,Lewis Hamilton,Mercedes,69,+52.025,1,8
7,8,Romain Grosjean,Lotus-Mercedes,69,+58.578,10,6
8,6,Nico Rosberg,Mercedes,69,+58.876,2,4
9,22,Jenson Button,McLaren-Honda,69,+1:07.028,16,2
10,9,Marcus Ericsson,Sauber-Ferrari,69,+1:09.130,17,1
11,12,Felipe Nasr,Sauber-Ferrari,69,+1:13.458,18,
12,19,Felipe Massa,Williams-Mercedes,69,+1:14.278,8,
13,77,Valtteri Bottas,Williams-Mercedes,69,+1:20.228,6,
14,13,Pastor Maldonado,Lotus-Mercedes,69,+1:25.142,14,
15,98,Roberto Merhi,Marussia-Ferrari,67,+2 Laps,19,
16,28,Will Stevens,Marussia-Ferrari,65,Suspension,20,
Ret,55,Carlos Sainz Jr.,Toro Rosso-Renault,60,Fuel pressure,12,
Ret,7,Kimi Räikkönen,Ferrari,55,Hybrid system,5,
Ret,11,Sergio Pérez,Force India-Mercedes,53,Brakes,13,
Ret,27,Nico Hülkenberg,Force India-Mercedes,41,Front wing,11,
Source:
Total Laps,69
Fastest Lap,Daniel Ricciardo
