Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:24.251,1:23.383,1:23.397,1
2,7,Kimi Räikkönen,Ferrari,1:24.662,1:23.757,1:23.631,2
3,5,Sebastian Vettel,Ferrari,1:24.989,1:23.577,1:23.685,3
4,6,Nico Rosberg,Mercedes,1:24.609,1:23.864,1:23.703,4
5,19,Felipe Massa,Williams-Mercedes,1:25.184,1:23.983,1:23.940,5
6,77,Valtteri Bottas,Williams-Mercedes,1:24.979,1:24.313,1:24.127,6
7,11,Sergio Pérez,Force India-Mercedes,1:24.801,1:24.379,1:24.626,7
8,8,Romain Grosjean,Lotus-Mercedes,1:25.144,1:24.448,1:25.054,8
9,27,Nico Hülkenberg,Force India-Mercedes,1:24.937,1:24.510,1:25.317,9
10,9,Marcus Ericsson,Sauber-Ferrari,1:25.122,1:24.457,1:26.214,12
11,13,Pastor Maldonado,Lotus-Mercedes,1:25.429,1:24.525,,10
12,12,Felipe Nasr,Sauber-Ferrari,1:25.121,1:24.898,,11
13,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:25.410,1:25.618,,17
14,26,Daniil Kvyat,Red Bull Racing-Renault,1:25.742,1:25.796,,18
15,3,Daniel Ricciardo,Red Bull Racing-Renault,1:25.633,No time,,19
16,22,Jenson Button,McLaren-Honda,1:26.058,,,15
17,14,Fernando Alonso,McLaren-Honda,1:26.154,,,16
18,28,Will Stevens,Marussia-Ferrari,1:27.731,,,13
19,98,Roberto Merhi,Marussia-Ferrari,1:27.912,,,14
NC,33,Max Verstappen,Toro Rosso-Renault,No Time,,,20
107% time: 1:30.148
Source:
