Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:33.015,1:32.632,1:32.584,1
2,44,Lewis Hamilton,Mercedes,1:32.844,1:32.789,1:32.660,2
3,77,Valtteri Bottas,Williams-Mercedes,1:34.326,1:33.416,1:33.024,3
4,5,Sebastian Vettel,Ferrari,1:34.431,1:33.844,1:33.245,4
5,19,Felipe Massa,Williams-Mercedes,1:34.744,1:33.377,1:33.337,5
6,7,Kimi Räikkönen,Ferrari,1:34.171,1:33.361,1:33.347,6
7,3,Daniel Ricciardo,Red Bull Racing-Renault,1:34.399,1:34.153,1:33.497,7
8,8,Romain Grosjean,Lotus-Mercedes,1:34.398,1:34.278,1:33.967,8
9,11,Sergio Pérez,Force India-Mercedes,1:35.001,1:34.174,No time,9
10,26,Daniil Kvyat,Red Bull Racing-Renault,1:34.646,1:34.201,No time,PL
11,27,Nico Hülkenberg,Force India-Mercedes,1:35.328,1:34.390,,13
12,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:34.873,1:34.453,,10
13,13,Pastor Maldonado,Lotus-Mercedes,1:34.796,1:34.497,,11
14,14,Fernando Alonso,McLaren-Honda,1:35.467,1:34.785,,12
15,33,Max Verstappen,Toro Rosso-Renault,1:34.522,No time,,17
16,22,Jenson Button,McLaren-Honda,1:35.664,,,14
17,9,Marcus Ericsson,Sauber-Ferrari,1:35.673,,,15
18,12,Felipe Nasr,Sauber-Ferrari,1:35.760,,,16
19,28,Will Stevens,Marussia-Ferrari,1:38.783,,,18
107% time: 1:39.343
NC,53,Alexander Rossi,Marussia-Ferrari,1:47.114,,,19
Source:
