Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts
1,44,Lewis Hamilton,Mercedes,53,1:28:06.508,2,25
2,6,Nico Rosberg,Mercedes,53,+18.964,1,18
3,5,Sebastian Vettel,Ferrari,53,+20.850,4,15
4,7,Kimi Räikkönen,Ferrari,53,+33.768,6,12
5,77,Valtteri Bottas,Williams-Mercedes,53,+36.746,3,10
6,27,Nico Hülkenberg,Force India-Mercedes,53,+55.559,13,8
7,8,Romain Grosjean,Lotus-Mercedes,53,+1:12.298,8,6
8,13,Pastor Maldonado,Lotus-Mercedes,53,+1:13.575,11,4
9,33,Max Verstappen,Toro Rosso-Renault,53,+1:35.315,17,2
10,55,Carlos Sainz Jr.,Toro Rosso-Renault,52,+1 Lap,10,1
11,14,Fernando Alonso,McLaren-Honda,52,+1 Lap,12,
12,11,Sergio Pérez,Force India-Mercedes,52,+1 Lap,9,
13,26,Daniil Kvyat,Red Bull Racing-Renault,52,+1 Lap,PL,
14,9,Marcus Ericsson,Sauber-Ferrari,52,+1 Lap,15,
15,3,Daniel Ricciardo,Red Bull Racing-Renault,52,+1 Lap,7,
16,22,Jenson Button,McLaren-Honda,52,+1 Lap,14,
17,19,Felipe Massa,Williams-Mercedes,51,+2 Laps,5,
18,53,Alexander Rossi,Marussia-Ferrari,51,+2 Laps,19,
19,28,Will Stevens,Marussia-Ferrari,50,+3 Laps,18,
20,12,Felipe Nasr,Sauber-Ferrari,49,Mechanical,16,
Source:
Total Laps,53
Fastest Lap,Lewis Hamilton
