Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:39.269,1:41.517,1:49.834,1
2,5,Sebastian Vettel,Ferrari,1:39.814,1:39.632,1:49.908,2
3,6,Nico Rosberg,Mercedes,1:39.374,1:39.377,1:50.299,3
4,3,Daniel Ricciardo,Red Bull Racing-Renault,1:40.504,1:41.085,1:51.541,4
5,26,Daniil Kvyat,Red Bull Racing-Renault,1:40.546,1:41.665,1:51.951,5
6,33,Max Verstappen,Toro Rosso-Renault,1:40.793,1:41.430,1:51.981,6
7,19,Felipe Massa,Williams-Mercedes,1:40.543,1:41.230,1:52.473,7
8,8,Romain Grosjean,Lotus-Mercedes,1:40.303,1:41.209,1:52.981,10
9,77,Valtteri Bottas,Williams-Mercedes,1:40.249,1:40.650,1:53.179,8
10,9,Marcus Ericsson,Sauber-Ferrari,1:40.340,1:41.748,1:53.261,9
11,7,Kimi Räikkönen,Ferrari,1:40.415,1:42.173,,11
12,13,Pastor Maldonado,Lotus-Mercedes,1:40.361,1:42.198,,12
13,27,Nico Hülkenberg,Force India-Mercedes,1:40.830,1:43.023,,13
14,11,Sergio Pérez,Force India-Mercedes,1:41.036,1:43.469,,14
15,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:39.814,1:43.701,,15
16,12,Felipe Nasr,Sauber-Ferrari,1:41.308,,,16
17,22,Jenson Button,McLaren-Honda,1:41.636,,,17
18,14,Fernando Alonso,McLaren-Honda,1:41.746,,,18
107% time: 1:46.217
—,98,Roberto Merhi,Marussia-Ferrari,1:46.677,,,19
—,28,Will Stevens,Marussia-Ferrari,no time,,,20
Source:
