Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:20.436,1:20.053,1:19.480,1
2,44,Lewis Hamilton,Mercedes,1:20.808,1:19.829,1:19.668,2
3,5,Sebastian Vettel,Ferrari,1:20.503,1:20.045,1:19.850,3
4,26,Daniil Kvyat,Red Bull Racing-Renault,1:20.826,1:20.490,1:20.398,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,1:21.166,1:20.783,1:20.399,5
6,77,Valtteri Bottas,Williams-Mercedes,1:20.817,1:20.458,1:20.448,6
7,19,Felipe Massa,Williams-Mercedes,1:21.379,1:20.642,1:20.567,7
8,33,Max Verstappen,Toro Rosso-Renault,1:20.995,1:20.894,1:20.710,8
9,11,Sergio Pérez,Force India-Mercedes,1:20.966,1:20.669,1:20.716,9
10,27,Nico Hülkenberg,Force India-Mercedes,1:21.315,1:20.935,1:20.788,10
11,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:20.960,1:20.942,,11
12,8,Romain Grosjean,Lotus-Mercedes,1:21.577,1:21.038,,12
13,13,Pastor Maldonado,Lotus-Mercedes,1:21.520,1:21.261,,13
14,9,Marcus Ericsson,Sauber-Ferrari,1:21.299,1:21.544,,14
15,7,Kimi Räikkönen,Ferrari,1:21.422,1:22.494,,19
16,14,Fernando Alonso,McLaren-Honda,1:21.779,,,18
17,12,Felipe Nasr,Sauber-Ferrari,1:21.788,,,15
18,53,Alexander Rossi,Marussia-Ferrari,1:24.136,,,16
19,28,Will Stevens,Marussia-Ferrari,1:24.386,,,17
107% Time: 1:26.067
—,22,Jenson Button,McLaren-Honda,no time,,,20
Source:
