Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,6,Nico Rosberg,Mercedes,78,1:49:18.420,2,25
2,5,Sebastian Vettel,Ferrari,78,+4.486,3,18
3,44,Lewis Hamilton,Mercedes,78,+6.053,1,15
4,26,Daniil Kvyat,Red Bull Racing-Renault,78,+11.965,5,12
5,3,Daniel Ricciardo,Red Bull Racing-Renault,78,+13.608,4,10
6,7,Kimi Räikkönen,Ferrari,78,+14.345,6,8
7,11,Sergio Pérez,Force India-Mercedes,78,+15.013,7,6
8,22,Jenson Button,McLaren-Honda,78,+16.063,10,4
9,12,Felipe Nasr,Sauber-Ferrari,78,+23.626,14,2
10,55,Carlos Sainz Jr.,Toro Rosso-Renault,78,+25.056,PL,1
11,27,Nico Hülkenberg,Force India-Mercedes,78,+26.232,11,
12,8,Romain Grosjean,Lotus-Mercedes,78,+28.415,15,
13,9,Marcus Ericsson,Sauber-Ferrari,78,+31.159,17,
14,77,Valtteri Bottas,Williams-Mercedes,78,+45.789,16,
15,19,Felipe Massa,Williams-Mercedes,77,+1 Lap,12,
16,98,Roberto Merhi,Marussia-Ferrari,76,+2 Laps,19,
17,28,Will Stevens,Marussia-Ferrari,76,+2 Laps,18,
Ret,33,Max Verstappen,Toro Rosso-Renault,62,Collision,9,
Ret,14,Fernando Alonso,McLaren-Honda,41,Gearbox,13,
Ret,13,Pastor Maldonado,Lotus-Mercedes,5,Brakes,8,
Source:
Total Laps,78
Fastest Lap,Daniel Ricciardo
