Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:38.343,1:37.500,1:37.113,1
2,44,Lewis Hamilton,Mercedes,1:38.558,1:37.672,1:37.433,2
3,77,Valtteri Bottas,Williams-Mercedes,1:38.448,1:38.194,1:37.912,3
4,5,Sebastian Vettel,Ferrari,1:38.598,1:38.402,1:37.965,4
5,7,Kimi Räikkönen,Ferrari,1:39.207,1:38.224,1:38.348,5
6,27,Nico Hülkenberg,Force India-Mercedes,1:39.250,1:38.727,1:38.659,6
7,11,Sergio Pérez,Force India-Mercedes,1:39.617,1:38.914,1:38.691,7
8,8,Romain Grosjean,Lotus-Mercedes,1:39.056,1:38.754,1:38.787,8
9,33,Max Verstappen,Toro Rosso-Renault,1:39.411,1:39.119,1:38.924,9
10,3,Daniel Ricciardo,Red Bull Racing-Renault,1:39.574,1:39.005,1:39.728,10
11,26,Daniil Kvyat,Red Bull Racing-Renault,1:39.580,1:39.214,,11
12,12,Felipe Nasr,Sauber-Ferrari,1:40.042,1:39.323,,12
13,22,Jenson Button,McLaren-Honda,1:39.739,1:39.763,,13
14,13,Pastor Maldonado,Lotus-Mercedes,1:39.724,1:39.811,,14
15,19,Felipe Massa,Williams-Mercedes,1:38.926,1:39.895,,15
16,14,Fernando Alonso,McLaren-Honda,1:40.144,,,19
17,9,Marcus Ericsson,Sauber-Ferrari,1:40.660,,,16
18,28,Will Stevens,Marussia-Ferrari,1:43.693,,,17
19,98,Roberto Merhi,Marussia-Ferrari,1:43.804,,,18
107% Time: 1:45.227
—,55,Carlos Sainz Jr.,Toro Rosso-Renault,No time,,,20
Source:
