Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Ferrari,1:46.017,1:44.743,1:43.885,1
2,3,Daniel Ricciardo,Red Bull Racing-Renault,1:46.166,1:45.291,1:44.428,2
3,7,Kimi Räikkönen,Ferrari,1:46.467,1:45.140,1:44.667,3
4,26,Daniil Kvyat,Red Bull Racing-Renault,1:45.340,1:44.979,1:44.745,4
5,44,Lewis Hamilton,Mercedes,1:45.765,1:45.650,1:45.300,5
6,6,Nico Rosberg,Mercedes,1:46.201,1:45.653,1:45.415,6
7,77,Valtteri Bottas,Williams-Mercedes,1:46.231,1:45.887,1:45.676,7
8,33,Max Verstappen,Toro Rosso-Renault,1:46.483,1:45.635,1:45.798,8
9,19,Felipe Massa,Williams-Mercedes,1:46.879,1:45.701,1:46.077,9
10,8,Romain Grosjean,Lotus-Mercedes,1:46.860,1:45.805,1:46.413,10
11,27,Nico Hülkenberg,Force India-Mercedes,1:46.669,1:46.305,,11
12,14,Fernando Alonso,McLaren-Honda,1:46.600,1:46.328,,12
13,11,Sergio Pérez,Force India-Mercedes,1:46.576,1:46.385,,13
14,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:46.465,1:46.894,,14
15,22,Jenson Button,McLaren-Honda,1:46.891,1:47.019,,15
16,12,Felipe Nasr,Sauber-Ferrari,1:46.965,,,16
17,9,Marcus Ericsson,Sauber-Ferrari,1:47.088,,,17
18,13,Pastor Maldonado,Lotus-Mercedes,1:47.323,,,18
19,28,Will Stevens,Marussia-Ferrari,1:51.021,,,19
20,53,Alexander Rossi,Marussia-Ferrari,1:51.523,,,20
107% time: 1:52.713
Source:
