Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:25.351,1:24.605,1:23.837,1
2,6,Nico Rosberg,Mercedes,1:26.934,1:24.796,1:24.197,2
3,5,Sebastian Vettel,Ferrari,1:26.945,1:25.257,1:24.675,3
4,7,Kimi Räikkönen,Ferrari,1:26.579,1:25.615,1:25.033,4
5,33,Max Verstappen,Toro Rosso-Ferrari,1:25.934,1:25.615,1:25.434,5
6,19,Felipe Massa,Williams-Mercedes,1:25.918,1:25.644,1:25.458,6
7,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:27.057,1:25.384,1:25.582,7
8,3,Daniel Ricciardo,Red Bull-TAG Heuer,1:26.945,1:25.599,1:25.589,8
9,11,Sergio Pérez,Force India-Mercedes,1:26.607,1:25.753,,9
10,27,Nico Hülkenberg,Force India-Mercedes,1:26.550,1:25.865,,10
11,77,Valtteri Bottas,Williams-Mercedes,1:27.135,1:25.961,,16
12,14,Fernando Alonso,McLaren-Honda,1:26.537,1:26.125,,11
13,22,Jenson Button,McLaren-Honda,1:26.740,1:26.304,,12
14,30,Jolyon Palmer,Renault,1:27.241,1:27.601,,13
15,20,Kevin Magnussen,Renault,1:27.297,1:27.742,,14
16,9,Marcus Ericsson,Sauber-Ferrari,1:27.435,,,15
17,12,Felipe Nasr,Sauber-Ferrari,1:27.958,,,17
18,26,Daniil Kvyat,Red Bull-TAG Heuer,1:28.006,,,18
19,8,Romain Grosjean,Haas-Ferrari,1:28.322,,,19
20,21,Esteban Gutiérrez,Haas-Ferrari,1:29.606,,,20
21,88,Rio Haryanto,MRT-Mercedes,1:29.627,,,22
22,94,Pascal Wehrlein,MRT-Mercedes,1:29.642,,,21
107% time: 1:31.325
Source:
