Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:06.947,1:06.228,1:07.922,1
2,6,Nico Rosberg,Mercedes,1:06.516,1:06.403,1:08.465,6
3,27,Nico Hülkenberg,Force India-Mercedes,1:07.385,1:07.257,1:09.285,2
4,5,Sebastian Vettel,Ferrari,1:06.761,1:06.602,1:09.781,9
5,22,Jenson Button,McLaren-Honda,1:07.653,1:07.572,1:09.900,3
6,7,Kimi Räikkönen,Ferrari,1:07.240,1:06.940,1:09.901,4
7,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:07.500,1:06.840,1:09.980,5
8,77,Valtteri Bottas,Williams-Mercedes,1:07.148,1:06.911,1:10.440,7
9,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:07.131,1:06.866,1:11.153,8
10,19,Felipe Massa,Williams-Mercedes,1:07.419,1:07.145,1:11.977,PL
11,21,Esteban Gutiérrez,Haas-Ferrari,1:07.660,1:07.578,,11
12,94,Pascal Wehrlein,MRT-Mercedes,1:07.565,1:07.700,,12
13,8,Romain Grosjean,Haas-Ferrari,1:07.662,1:07.850,,13
14,14,Fernando Alonso,McLaren-Honda,1:07.671,1:08.154,,14
15,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:07.618,no time,,15
16,11,Sergio Pérez,Force India-Mercedes,1:07.657,no time,,16
17,20,Kevin Magnussen,Renault,1:07.941,,,17
18,30,Jolyon Palmer,Renault,1:07.965,,,19
19,88,Rio Haryanto,MRT-Mercedes,1:08.026,,,20
20,26,Daniil Kvyat,Toro Rosso-Ferrari,1:08.409,,,PL
21,9,Marcus Ericsson,Sauber-Ferrari,1:08.418,,,18
22,12,Felipe Nasr,Sauber-Ferrari,1:08.446,,,21
107% time: 1:11.172
Source:
