Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:43.685,1:42.520,1:42.758,1
2,11,Sergio Pérez,Force India-Mercedes,1:44.462,1:43.939,1:43.515,7
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:44.570,1:44.141,1:43.966,2
4,5,Sebastian Vettel,Ferrari,1:45.062,1:44.461,1:43.966,3
5,7,Kimi Räikkönen,Ferrari,1:44.936,1:44.533,1:44.269,4
6,19,Felipe Massa,Williams-Mercedes,1:45.494,1:44.696,1:44.483,5
7,26,Daniil Kvyat,Toro Rosso-Ferrari,1:44.694,1:44.687,1:44.717,6
8,77,Valtteri Bottas,Williams-Mercedes,1:44.706,1:44.477,1:45.246,8
9,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:44.939,1:44.387,1:45.570,9
10,44,Lewis Hamilton,Mercedes,1:44.259,1:43.526,2:01.954,10
11,8,Romain Grosjean,Haas-Ferrari,1:45.507,1:44.755,,11
12,27,Nico Hülkenberg,Force India-Mercedes,1:44.860,1:44.824,,12
13,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:44.827,1:45.000,,18
14,14,Fernando Alonso,McLaren-Honda,1:45.525,1:45.270,,13
15,21,Esteban Gutiérrez,Haas-Ferrari,1:45.300,1:45.349,,14
16,12,Felipe Nasr,Sauber-Ferrari,1:45.549,1:46.048,,15
17,88,Rio Haryanto,MRT-Mercedes,1:45.665,,,16
18,94,Pascal Wehrlein,MRT-Mercedes,1:45.750,,,17
19,22,Jenson Button,McLaren-Honda,1:45.804,,,19
20,9,Marcus Ericsson,Sauber-Ferrari,1:46.231,,,20
21,20,Kevin Magnussen,Renault,1:46.348,,,PL
22,30,Jolyon Palmer,Renault,1:46.394,,,21
107% time: 1:50.942
Source:
