Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,6,Nico Rosberg,Mercedes,51,1:32:52.366,1,25
2,5,Sebastian Vettel,Ferrari,51,+16.696,3,18
3,11,Sergio Pérez,Force India-Mercedes,51,+25.241,7,15
4,7,Kimi Räikkönen,Ferrari,51,+33.102,4,12
5,44,Lewis Hamilton,Mercedes,51,+56.335,10,10
6,77,Valtteri Bottas,Williams-Mercedes,51,+1.00.886,8,8
7,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,51,+1:09.229,2,6
8,33,Max Verstappen,Red Bull Racing-TAG Heuer,51,+1.10.696,9,4
9,27,Nico Hülkenberg,Force India-Mercedes,51,+1.17.708,12,2
10,19,Felipe Massa,Williams-Mercedes,51,+1.25.375,5,1
11,22,Jenson Button,McLaren-Honda,51,+1.44.817,19,
12,12,Felipe Nasr,Sauber-Ferrari,50,+1 Lap,15,
13,8,Romain Grosjean,Haas-Ferrari,50,+1 Lap,11,
14,20,Kevin Magnussen,Renault,50,+1 Lap,PL,
15,30,Jolyon Palmer,Renault,50,+1 Lap,21,
16,21,Esteban Gutiérrez,Haas-Ferrari,50,+1 Lap,14,
17,9,Marcus Ericsson,Sauber-Ferrari,50,+1 Lap,20,
18,88,Rio Haryanto,MRT-Mercedes,49,+2 Laps,16,
Ret,14,Fernando Alonso,McLaren-Honda,42,Gearbox,13,
Ret,94,Pascal Wehrlein,MRT-Mercedes,39,Brakes,17,
Ret,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,31,Suspension,18,
Ret,26,Daniil Kvyat,Toro Rosso-Ferrari,6,Suspension,6,
Source:
Total Laps,51
Fastest Lap,Nico Rosberg
