Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:41.111,1:40.979,1:40.237,1
2,44,Lewis Hamilton,Mercedes,1:40.974,1:40.758,1:40.614,2
3,7,Kimi Räikkönen,Ferrari,1:42.500,1:41.612,1:41.051,3
4,11,Sergio Pérez,Force India-Mercedes,1:41.983,1:41.560,1:41.184,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,1:42.275,1:41.830,1:41.444,5
6,77,Valtteri Bottas,Williams-Mercedes,1:42.608,1:41.868,1:41.656,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:41.996,1:41.925,1:41.686,7
8,19,Felipe Massa,Williams-Mercedes,1:42.303,1:42.349,1:41.759,8
9,26,Daniil Kvyat,Red Bull Racing-Renault,1:42.540,1:42.328,1:41.933,9
10,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:42.911,1:42.482,1:42.708,10
11,33,Max Verstappen,Toro Rosso-Renault,1:42.889,1:42.521,,11
12,22,Jenson Button,McLaren-Honda,1:42.570,1:42.668,,12
13,13,Pastor Maldonado,Lotus-Mercedes,1:42.929,1:42.807,,13
14,12,Felipe Nasr,Sauber-Ferrari,1:42.896,1:43.614,,14
15,8,Romain Grosjean,Lotus-Mercedes,1:42.585,no time,,18
16,5,Sebastian Vettel,Ferrari,1:42.941,,,15
17,14,Fernando Alonso,McLaren-Honda,1:43.187,,,16
18,9,Marcus Ericsson,Sauber-Ferrari,1:43.838,,,17
19,28,Will Stevens,Marussia-Ferrari,1:46.297,,,19
20,98,Roberto Merhi,Marussia-Ferrari,1:47.434,,,PL
107% Time: 1:48.291
Source:
