Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:12.218,1:09.062,1:08.455,1
2,6,Nico Rosberg,Mercedes,1:10.976,1:08.634,1:08.655,2
3,5,Sebastian Vettel,Ferrari,1:11.184,1:09.392,1:08.810,3
4,19,Felipe Massa,Williams-Mercedes,1:11.830,1:09.719,1:09.192,4
5,27,Nico Hülkenberg,Force India-Mercedes,1:11.319,1:09.604,1:09.278,5
6,77,Valtteri Bottas,Williams-Mercedes,1:11.894,1:09.598,1:09.319,6
7,33,Max Verstappen,Toro Rosso-Renault,1:11.307,1:09.631,1:09.612,7
8,26,Daniil Kvyat,Red Bull Racing-Renault,1:12.092,1:10.187,1:09.694,15
9,12,Felipe Nasr,Sauber-Ferrari,1:12.001,1:09.652,1:09.713,8
10,8,Romain Grosjean,Lotus-Mercedes,1:11.821,1:09.920,no time,9
11,13,Pastor Maldonado,Lotus-Mercedes,1:11.661,1:10.374,,10
12,9,Marcus Ericsson,Sauber-Ferrari,1:12.388,1:10.426,,11
13,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:11.158,1:10.465,,12
14,3,Daniel Ricciardo,Red Bull Racing-Renault,1:11.973,1:10.482,,18
15,14,Fernando Alonso,McLaren-Honda,1:12.508,1:10.736,,19
16,11,Sergio Pérez,Force India-Mercedes,1:12.522,,,13
17,22,Jenson Button,McLaren-Honda,1:12.632,,,20
18,7,Kimi Räikkönen,Ferrari,1:12.867,,,14
19,98,Roberto Merhi,Marussia-Ferrari,1:14.071,,,16
20,28,Will Stevens,Marussia-Ferrari,1:15.368,,,17
107% time: 1:15.944
Source:
