Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,44,Lewis Hamilton,Mercedes,57,1:35:05.809,1,25
2,7,Kimi Räikkönen,Ferrari,57,+3.380,4,18
3,6,Nico Rosberg,Mercedes,57,+6.033,3,15
4,77,Valtteri Bottas,Williams-Mercedes,57,+42.957,5,12
5,5,Sebastian Vettel,Ferrari,57,+43.989,2,10
6,3,Daniel Ricciardo,Red Bull Racing-Renault,57,+1:01.751,7,8
7,8,Romain Grosjean,Lotus-Mercedes,57,+1:24.763,10,6
8,11,Sergio Pérez,Force India-Mercedes,56,+1 Lap,11,4
9,26,Daniil Kvyat,Red Bull Racing-Renault,56,+1 Lap,17,2
10,19,Felipe Massa,Williams-Mercedes,56,+1 Lap,6,1
11,14,Fernando Alonso,McLaren-Honda,56,+1 Lap,14,
12,12,Felipe Nasr,Sauber-Ferrari,56,+1 Lap,12,
13,27,Nico Hülkenberg,Force India-Mercedes,56,+1 Lap,8,
14,9,Marcus Ericsson,Sauber-Ferrari,56,+1 Lap,13,
15,13,Pastor Maldonado,Lotus-Mercedes,56,+1 Lap,18,
16,28,Will Stevens,Marussia-Ferrari,55,+2 Laps,20,
17,98,Roberto Merhi,Marussia-Ferrari,54,+3 Laps,19,
Ret,33,Max Verstappen,Toro Rosso-Renault,34,Electrical,15,
Ret,55,Carlos Sainz Jr.,Toro Rosso-Renault,29,Wheel hub,9,
DNS,22,Jenson Button,McLaren-Honda,0,Power Unit,—,
Source:
Total Laps,57
Fastest Lap,Kimi Räikkönen
