Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:48.908,1:48.024,1:47.197,1
2,6,Nico Rosberg,Mercedes,1:48.923,1:47.955,1:47.655,2
3,77,Valtteri Bottas,Williams-Mercedes,1:49.026,1:49.044,1:48.537,3
4,8,Romain Grosjean,Lotus-Mercedes,1:49.353,1:48.981,1:48.561,9
5,11,Sergio Pérez,Force India-Mercedes,1:49.006,1:48.792,1:48.599,4
6,3,Daniel Ricciardo,Red Bull Racing-Renault,1:49.664,1:49.042,1:48.639,5
7,19,Felipe Massa,Williams-Mercedes,1:49.688,1:48.806,1:48.685,6
8,13,Pastor Maldonado,Lotus-Mercedes,1:49.568,1:48.956,1:48.754,7
9,5,Sebastian Vettel,Ferrari,1:49.264,1:48.761,1:48.825,8
10,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:49.109,1:49.065,1:49.771,10
11,27,Nico Hülkenberg,Force India-Mercedes,1:49.499,1:49.121,,11
12,26,Daniil Kvyat,Red Bull Racing-Renault,1:49.469,1:49.228,,12
13,9,Marcus Ericsson,Sauber-Ferrari,1:49.523,1:49.586,,13
14,7,Kimi Räikkönen,Ferrari,1:49.288,No time,,16
15,33,Max Verstappen,Toro Rosso-Renault,1:49.831,No time,,18
16,12,Felipe Nasr,Sauber-Ferrari,1:49.952,,,14
17,22,Jenson Button,McLaren-Honda,1:50.978,,,19
18,14,Fernando Alonso,McLaren-Honda,1:51.420,,,20
19,28,Will Stevens,Marussia-Ferrari,1:52.948,,,15
20,98,Roberto Merhi,Marussia-Ferrari,1:53.099,,,17
107% time: 1:56.531
Source:
