Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:11.746,1:12.213,1:11.282,1
2,44,Lewis Hamilton,Mercedes,1.11.682,1:11.665,1:11.360,2
3,5,Sebastian Vettel,Ferrari,1:12.240,1:11.928,1:11.804,3
4,77,Valtteri Bottas,Williams-Mercedes,1:12.934,1:12.374,1:12.085,7
5,7,Kimi Räikkönen,Ferrari,1:12.185,1:12.243,1:12.144,4
6,27,Nico Hülkenberg,Force India-Mercedes,1:12.595,1:12.485,1.12.265,5
7,26,Daniil Kvyat,Red Bull Racing-Renault,1:12.730,1:12.527,1:12.322,6
8,19,Felipe Massa,Williams-Mercedes,1:12.980,1:12.858,1:12.415,8
9,3,Daniel Ricciardo,Red Bull Racing-Renault,1:12.639,1:12.825,1:12.417,19
10,33,Max Verstappen,Toro Rosso-Renault,1:12.824,1.12.712,1.12.739,9
11,12,Felipe Nasr,Sauber-Ferrari,1:13.111,1:12.989,,13
12,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:13.267,1.13.045,,10
13,11,Sergio Pérez,Force India-Mercedes,1:13.140,1.13.147,,11
14,9,Marcus Ericsson,Sauber-Ferrari,1:13.346,1:13.233,,12
15,8,Romain Grosjean,Lotus-Mercedes,1:13.056,1.13.913,,14
16,13,Pastor Maldonado,Lotus-Mercedes,1:13.385,,,15
17,22,Jenson Button,McLaren-Honda,1:13.425,,,16
18,53,Alexander Rossi,Marussia-Ferrari,1:16.151,,,17
19,28,Will Stevens,Marussia-Ferrari,1:16.283,,,18
107% Time: 1:16.700
—,14,Fernando Alonso,McLaren-Honda,No time,,,20
Source:
