Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,6,Nico Rosberg,Mercedes,71,1:31:09.090,1,25
2,44,Lewis Hamilton,Mercedes,71,+7.756,2,18
3,5,Sebastian Vettel,Ferrari,71,+14.244,3,15
4,7,Kimi Räikkönen,Ferrari,71,+47.543,4,12
5,77,Valtteri Bottas,Williams-Mercedes,70,+1 Lap,7,10
6,27,Nico Hülkenberg,Force India-Mercedes,70,+1 Lap,5,8
7,26,Daniil Kvyat,Red Bull Racing-Renault,70,+1 Lap,6,6
8,8,Romain Grosjean,Lotus-Mercedes,70,+1 Lap,14,4
9,33,Max Verstappen,Toro Rosso-Renault,70,+1 Lap,9,2
10,13,Pastor Maldonado,Lotus-Mercedes,70,+1 Lap,15,1
11,3,Daniel Ricciardo,Red Bull Racing-Renault,70,+1 Lap,19,
12,11,Sergio Pérez,Force India-Mercedes,70,+1 Lap,11,
13,12,Felipe Nasr,Sauber-Ferrari,70,+1 Lap,13,
14,22,Jenson Button,McLaren-Honda,70,+1 Lap,16,
15,14,Fernando Alonso,McLaren-Honda,70,+1 Lap,20,
16,9,Marcus Ericsson,Sauber-Ferrari,69,+2 Laps,12,
17,28,Will Stevens,Marussia–Ferrari,67,+4 Laps,18,
18,53,Alexander Rossi,Marussia–Ferrari,67,+4 Laps,17,
Ret,55,Carlos Sainz Jr.,Toro Rosso-Renault,0,Technical,PL,
DSQ,19,Felipe Massa,Williams-Mercedes,70,Disqualified,8,
Source:
Total Laps,71
Fastest Lap,Lewis Hamilton
