Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:15.895,1:14.661,1:14.393,1
2,6,Nico Rosberg,Mercedes,1:15.893,1:14.673,1:14.702,2
3,7,Kimi Räikkönen,Ferrari,1:16.259,1:15.348,1:15.014,3
4,77,Valtteri Bottas,Williams-Mercedes,1:16.552,1:15.506,1:15.102,4
5,8,Romain Grosjean,Lotus-Mercedes,1:15.833,1:15.187,1:15.194,5
6,13,Pastor Maldonado,Lotus-Mercedes,1:16.098,1:15.622,1:15.329,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:16.186,1:15.706,1:15.614,7
8,26,Daniil Kvyat,Red Bull Racing-Renault,1:16.415,1:15.891,1:16.079,8
9,3,Daniel Ricciardo,Red Bull Racing-Renault,1:16.410,1:16.006,1:16.114,9
10,11,Sergio Pérez,Force India-Mercedes,1:16.827,1:15.974,1:16.338,10
11,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:16.611,1:16.042,,11
12,33,Max Verstappen,Toro Rosso-Renault,1:16.361,1:16.245,,19
13,9,Marcus Ericsson,Sauber-Ferrari,1:16.796,1:16.262,,12
14,14,Fernando Alonso,McLaren-Honda,1:17.012,1:16.276,,13
15,12,Felipe Nasr,Sauber-Ferrari,1:16.968,1:16.620,,14
16,5,Sebastian Vettel,Ferrari,1:17.344,,,18
17,19,Felipe Massa,Williams-Mercedes,1:17.886,,,15
18,98,Roberto Merhi,Marussia-Ferrari,1:19.133,,,16
19,28,Will Stevens,Marussia-Ferrari,1:19.157,,,17
107% time: 1:21.141
—,22,Jenson Button,McLaren-Honda,no time,,,20
Source:
