Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:38.285,1:36.423,1:35.782,1
2,6,Nico Rosberg,Mercedes,1:38.496,1:36.747,1:35.824,2
3,5,Sebastian Vettel,Ferrari,1:37.502,1:36.957,1:36.687,3
4,19,Felipe Massa,Williams-Mercedes,1:38.433,1:37.357,1:36.954,4
5,77,Valtteri Bottas,Williams-Mercedes,1:38.014,1:37.763,1:37.143,5
6,7,Kimi Räikkönen,Ferrari,1:37.790,1:37.109,1:37.232,6
7,3,Daniel Ricciardo,Red Bull Racing-Renault,1:38.534,1:37.939,1:37.540,7
8,8,Romain Grosjean,Lotus-Mercedes,1:38.209,1:38.063,1:37.905,8
9,12,Felipe Nasr,Sauber-Ferrari,1:38.521,1:38.017,1:38.067,9
10,9,Marcus Ericsson,Sauber-Ferrari,1:38.941,1:38.127,1:38.158,10
11,13,Pastor Maldonado,Lotus-Mercedes,1:38.563,1:38.134,,11
12,26,Daniil Kvyat,Red Bull Racing-Renault,1:39.051,1:38.209,,12
13,33,Max Verstappen,Toro Rosso-Renault,1:38.387,1:38.393,,13
14,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:38.622,1:38.538,,14
15,11,Sergio Pérez,Force India-Mercedes,1:38.903,1:39.290,,15
16,27,Nico Hülkenberg,Force India-Mercedes,1:39.216,,,16
17,22,Jenson Button,McLaren-Honda,1:39.276,,,17
18,14,Fernando Alonso,McLaren-Honda,1:39.280,,,18
19,28,Will Stevens,Marussia-Ferrari,1:42.091,,,19
20,98,Roberto Merhi,Marussia-Ferrari,1:42.842,,,20
107% time: 1:44.327
Source:
