Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:22.890,1:22.285,1:22.020,1
2,6,Nico Rosberg,Mercedes,1:22.979,1:22.775,1:22.595,2
3,5,Sebastian Vettel,Ferrari,1:23.312,1:23.168,1:22.739,3
4,3,Daniel Ricciardo,Red Bull Racing-Renault,1:24.408,1:23.230,1:22.774,4
5,7,Kimi Räikkönen,Ferrari,1:23.596,1:23.460,1:23.020,5
6,77,Valtteri Bottas,Williams-Mercedes,1:23.649,1:23.555,1:23.222,6
7,26,Daniil Kvyat,Red Bull Racing-Renault,1:23.587,1:23.597,1:23.332,7
8,19,Felipe Massa,Williams-Mercedes,1:23.895,1:23.598,1:23.537,8
9,33,Max Verstappen,Toro Rosso-Renault,1:24.032,1:23.781,1:23.679,9
10,8,Romain Grosjean,Lotus-Mercedes,1:24.242,1:23.805,1:24.181,10
11,27,Nico Hülkenberg,Force India-Mercedes,1:24.115,1:23.826,,11
12,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:24.623,1:23.869,,12
13,11,Sergio Pérez,Force India-Mercedes,1:24.444,1:24.461,,13
14,13,Pastor Maldonado,Lotus-Mercedes,1:23.895,1:24.609,,14
15,14,Fernando Alonso,McLaren-Honda,1:24.563,No time,,15
16,22,Jenson Button,McLaren-Honda,1:24.739,,,16
17,9,Marcus Ericsson,Sauber-Ferrari,1:24.843,,,17
18,12,Felipe Nasr,Sauber-Ferrari,1:24.997,,,18
19,98,Roberto Merhi,Marussia-Ferrari,1:27.416,,,19
20,28,Will Stevens,Marussia-Ferrari,1:27.949,,,20
107% time: 1:28.692
Source:
