Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,53,1:37:11.024,2,25
2,5,Sebastian Vettel,Ferrari,53,+5.953,4,18
3,11,Sergio Pérez,Force India-Mercedes,53,+28.918,7,15
4,19,Felipe Massa,Williams-Mercedes,53,+38.831,15,12
5,26,Daniil Kvyat,Red Bull Racing-Renault,53,+47.566,11,10
6,12,Felipe Nasr,Sauber-Ferrari,53,+56.508,12,8
7,13,Pastor Maldonado,Lotus-Mercedes,53,+1:01.088,14,6
8,7,Kimi Räikkönen,Ferrari,53,+1:12.358,5,4
9,22,Jenson Button,McLaren-Honda,53,+1:19.467,13,2
10,33,Max Verstappen,Toro Rosso-Renault,53,+1:28.424,9,1
11,14,Fernando Alonso,McLaren-Honda,53,+1:31.210,19,
12,77,Valtteri Bottas,Williams-Mercedes,52,Collision,3,
13,98,Roberto Merhi,Marussia-Ferrari,52,+1 Lap,18,
14,28,Will Stevens,Marussia-Ferrari,51,+2 Laps,17,
15,3,Daniel Ricciardo,Red Bull Racing-Renault,47,Suspension,10,
Ret,55,Carlos Sainz Jr.,Toro Rosso-Renault,45,Brakes,20,
Ret,8,Romain Grosjean,Lotus-Mercedes,11,Accident,8,
Ret,6,Nico Rosberg,Mercedes,7,Throttle,1,
Ret,27,Nico Hülkenberg,Force India-Mercedes,0,Collision,6,
Ret,9,Marcus Ericsson,Sauber-Ferrari,0,Collision,16,
Source:
Total Laps,53
Fastest Lap,Sebastian Vettel
