Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid,
1,44,Lewis Hamilton,Mercedes,01:31.4,01:30.0,01:29.5,1,3
2,6,Nico Rosberg,Mercedes,01:31.3,01:30.5,01:29.6,2,2
3,5,Sebastian Vettel,Ferrari,01:31.6,01:30.4,01:30.0,3,2
4,7,Kimi Räikkönen,Ferrari,01:31.7,01:30.6,01:30.2,4,2
5,3,Daniel Ricciardo,Red Bull-TAG Heuer,01:31.4,01:31.1,01:30.9,5,2
6,77,Valtteri Bottas,Williams-Mercedes,01:31.7,01:30.9,01:31.2,6,2
7,19,Felipe Massa,Williams-Mercedes,01:32.0,01:31.4,01:31.2,7,2
8,27,Nico Hülkenberg,Force India-Mercedes,01:32.0,01:31.6,01:31.6,8,2
9,8,Romain Grosjean,Haas-Ferrari,01:32.0,01:31.8,,9,1
10,33,Max Verstappen,Toro Rosso-Ferrari,01:31.9,01:31.8,,10,1
11,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,01:31.7,01:31.8,,11,1
12,47,Stoffel Vandoorne,McLaren-Honda,01:32.5,01:31.9,,12,1
13,21,Esteban Gutiérrez,Haas-Ferrari,01:32.1,01:31.9,,13,1
14,22,Jenson Button,McLaren-Honda,01:32.0,01:32.0,,14,1
15,26,Daniil Kvyat,Red Bull-TAG Heuer,01:32.6,01:32.2,,15,1
16,94,Pascal Wehrlein,MRT-Mercedes,01:32.8,,,16,0
17,9,Marcus Ericsson,Sauber-Ferrari,01:32.8,,,17,0
18,11,Sergio Pérez,Force India-Mercedes,01:32.9,,,18,0
19,20,Kevin Magnussen,Renault,01:33.2,,,PL,0
20,30,Jolyon Palmer,Renault,01:33.4,,,19,0
21,88,Rio Haryanto,MRT-Mercedes,01:34.2,,,20,0
22,12,Felipe Nasr,Sauber-Ferrari,01:34.4,,,21,0
107% time: 1:37.717,,,,,,,,
Source:,,,,,,,,
