Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,6,Nico Rosberg,Mercedes,57,1:33.34.696,2,25
2,7,Kimi Räikkönen,Ferrari,57,+10.282,4,18
3,44,Lewis Hamilton,Mercedes,57,+30.148,1,15
4,3,Daniel Ricciardo,Red Bull-TAG Heuer,57,+1:02.494,5,12
5,8,Romain Grosjean,Haas-Ferrari,57,+1:18.299,9,10
6,33,Max Verstappen,Toro Rosso-Ferrari,57,+1:20.929,10,8
7,26,Daniil Kvyat,Red Bull-TAG Heuer,56,+1 Lap,15,6
8,19,Felipe Massa,Williams-Mercedes,56,+1 Lap,7,4
9,77,Valtteri Bottas,Williams-Mercedes,56,+1 Lap,6,2
10,47,Stoffel Vandoorne,McLaren-Honda,56,+1 Lap,12,1
11,20,Kevin Magnussen,Renault,56,+1 Lap,PL,
12,9,Marcus Ericsson,Sauber-Ferrari,56,+1 Lap,17,
13,94,Pascal Wehrlein,MRT-Mercedes,56,+1 Lap,16,
14,12,Felipe Nasr,Sauber-Ferrari,56,+1 Lap,21,
15,27,Nico Hülkenberg,Force India-Mercedes,56,+1 Lap,8,
16,11,Sergio Pérez,Force India-Mercedes,56,+1 Lap,18,
17,88,Rio Haryanto,MRT-Mercedes,56,+1 Lap,20,
Ret,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,29,Collision Damage,11,
Ret,21,Esteban Gutiérrez,Haas-Ferrari,10,Brakes,13,
Ret,22,Jenson Button,McLaren-Honda,6,Engine,14,
DNS,5,Sebastian Vettel,Ferrari,0,Engine,—,
DNS,30,Jolyon Palmer,Renault,0,Hydraulics,—,
Source:
Total Laps,57
Fastest Lap,Nico Rosberg
