Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:48.019,1:46.999,1:46.744,1
2,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:48.407,1:47.163,1:46.893,2
3,7,Kimi Räikkönen,Ferrari,1:47.912,1:47.664,1:46.910,3
4,5,Sebastian Vettel,Ferrari,1:47.802,1:47.944,1:47.108,4
5,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:48.407,1:48.027,1:47.216,5
6,11,Sergio Pérez,Force India-Mercedes,1:48.106,1:47.485,1:47.407,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:48.080,1:47.317,1:47.543,7
8,77,Valtteri Bottas,Williams-Mercedes,1:48.655,1:47.918,1:47.612,8
9,22,Jenson Button,McLaren-Honda,1:48.700,1:48.051,1:48.114,9
10,19,Felipe Massa,Williams-Mercedes,1:47.738,1:47.667,1:48.263,10
11,8,Romain Grosjean,Haas-Ferrari,1:48.751,1:48.316,,11
12,20,Kevin Magnussen,Renault,1:48.800,1:48.485,,12
13,21,Esteban Gutiérrez,Haas-Ferrari,1:48.748,1:48.598,,18
14,30,Jolyon Palmer,Renault,1:48.901,1:48.888,,13
15,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:48.876,1:49.038,,14
16,94,Pascal Wehrlein,MRT-Mercedes,1:48.554,1:49.320,,15
17,12,Felipe Nasr,Sauber-Ferrari,1:48.949,,,16
18,31,Esteban Ocon,MRT-Mercedes,1:49.050,,,17
19,26,Daniil Kvyat,Toro Rosso-Ferrari,1:49.058,,,19
20,9,Marcus Ericsson,Sauber-Ferrari,1:49.071,,,20
21,44,Lewis Hamilton,Mercedes,1:50.033,,,21
107% time: 1:55.279
22,14,Fernando Alonso,McLaren-Honda,no time,,,22
Source:
