Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:11.511,1:11.238,1:10.736,1
2,6,Nico Rosberg,Mercedes,1:11.815,1:11.373,1:10.838,2
3,7,Kimi Räikkönen,Ferrari,1:12.100,1:12.301,1:11.404,3
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:11.957,1:11.834,1:11.485,4
5,5,Sebastian Vettel,Ferrari,1:12.159,1:12.010,1:11.495,5
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:12.409,1:12.047,1:11.540,6
7,8,Romain Grosjean,Haas-Ferrari,1:12.893,1:12.343,1:11.937,7
8,27,Nico Hülkenberg,Force India-Mercedes,1:12.428,1:12.360,1:12.104,8
9,11,Sergio Pérez,Force India-Mercedes,1:12.684,1:12.331,1:12.165,9
10,14,Fernando Alonso,McLaren-Honda,1:12.700,1:12.312,1:12.266,10
11,77,Valtteri Bottas,Williams-Mercedes,1:12.680,1:12.420,,11
12,21,Esteban Gutiérrez,Haas-Ferrari,1:13.052,1:12.431,,12
13,19,Felipe Massa,Williams-Mercedes,1:12.432,1:12.521,,13
14,26,Daniil Kvyat,Toro Rosso-Ferrari,1:13.071,1:12.726,,14
15,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:12.950,1:12.920,,15
16,30,Jolyon Palmer,Renault,1:13.259,1:13.258,,16
17,22,Jenson Button,McLaren-Honda,1:13.276,,,17
18,20,Kevin Magnussen,Renault,1:13.410,,,18
19,94,Pascal Wehrlein,MRT-Mercedes,1:13.427,,,19
20,31,Esteban Ocon,MRT-Mercedes,1:13.432,,,22
21,9,Marcus Ericsson,Sauber-Ferrari,1:13.623,,,20
22,12,Felipe Nasr,Sauber-Ferrari,1:13.681,,,21
107% time: 1:16.516
Source:
