Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:14.121,1:13.076,1:12.812,1
2,6,Nico Rosberg,Mercedes,1:13.714,1:13.094,1:12.874,2
3,5,Sebastian Vettel,Ferrari,1:13.925,1:13.857,1:12.990,3
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:14.030,1:13.540,1:13.166,4
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:14.601,1:13.793,1:13.414,5
6,7,Kimi Räikkönen,Ferrari,1:14.477,1:13.849,1:13.579,6
7,77,Valtteri Bottas,Williams-Mercedes,1:14.389,1:13.791,1:13.670,7
8,19,Felipe Massa,Williams-Mercedes,1:14.815,1:13.864,1:13.769,8
9,27,Nico Hülkenberg,Force India-Mercedes,1:14.663,1:14.166,1:13.952,9
10,14,Fernando Alonso,McLaren-Honda,1:15.026,1:14.260,1:14.338,10
11,11,Sergio Pérez,Force India-Mercedes,1:14.814,1:14.317,,11
12,22,Jenson Button,McLaren-Honda,1:14.755,1:14.437,,12
13,26,Daniil Kvyat,Toro Rosso-Ferrari,1:14.829,1:14.457,,15
14,21,Esteban Gutiérrez,Haas-Ferrari,1:15.148,1:14.571,,13
15,8,Romain Grosjean,Haas-Ferrari,1:15.444,1:14.803,,14
16,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:14.714,1:21.956,,20
17,30,Jolyon Palmer,Renault,1:15.459,,,16
18,94,Pascal Wehrlein,MRT-Mercedes,1:15.599,,,17
19,9,Marcus Ericsson,Sauber-Ferrari,1:15.635,,,21
20,12,Felipe Nasr,Sauber-Ferrari,1:16.663,,,18
21,88,Rio Haryanto,MRT-Mercedes,1:17.052,,,19
107% time: 1:18.873
—,20,Kevin Magnussen,Renault,no time,,,22
Source:
