Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:37.669,1:36.240,1:35.402,1
2,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:37.672,1:36.815,1:35.917,2
3,7,Kimi Räikkönen,Ferrari,1:37.347,1:36.118,1:35.972,3
4,5,Sebastian Vettel,Ferrari,1:37.001,1:36.183,1:36.246,4
5,77,Valtteri Bottas,Williams-Mercedes,1:37.537,1:36.831,1:36.296,5
6,26,Daniil Kvyat,Red Bull Racing-TAG Heuer,1:37.719,1:36.948,1:36.399,6
7,11,Sergio Pérez,Force India-Mercedes,1:38.096,1:37.149,1:36.865,7
8,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:37.656,1:37.204,1:36.881,8
9,33,Max Verstappen,Toro Rosso-Ferrari,1:38.181,1:37.265,1:37.194,9
10,27,Nico Hülkenberg,Force India-Mercedes,1:38.165,1:37.333,no time,13
11,19,Felipe Massa,Williams-Mercedes,1:38.016,1:37.347,,10
12,14,Fernando Alonso,McLaren-Honda,1:38.451,1:38.826,,11
13,22,Jenson Button,McLaren-Honda,1:37.593,1:39.093,,12
14,8,Romain Grosjean,Haas-Ferrari,1:38.425,1:39.830,,14
15,9,Marcus Ericsson,Sauber-Ferrari,1:38.321,1:40.742,,15
16,12,Felipe Nasr,Sauber-Ferrari,1:38.654,1:42.430,,16
17,20,Kevin Magnussen,Renault,1:38.673,,,17
18,21,Esteban Gutiérrez,Haas-Ferrari,1:38.770,,,18
19,30,Jolyon Palmer,Renault,1:39.528,,,19
20,88,Rio Haryanto,MRT-Mercedes,1:40.264,,,20
107% time: 1:42.080
21,94,Pascal Wehrlein,MRT-Mercedes,no time,,,21
22,44,Lewis Hamilton,Mercedes,no time,,,22
Source:
