Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,6,Nico Rosberg,Mercedes,56,1:38:53.891,1,25
2,5,Sebastian Vettel,Ferrari,56,+37.776,4,18
3,26,Daniil Kvyat,Red Bull Racing-TAG Heuer,56,+45.936,6,15
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,56,+52.688,2,12
5,7,Kimi Räikkönen,Ferrari,56,+1:05.872,3,10
6,19,Felipe Massa,Williams-Mercedes,56,+1:15.511,10,8
7,44,Lewis Hamilton,Mercedes,56,+1:18.230,22,6
8,33,Max Verstappen,Toro Rosso-Ferrari,56,+1:19.268,9,4
9,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,56,+1:24.127,8,2
10,77,Valtteri Bottas,Williams-Mercedes,56,+1:26.192,5,1
11,11,Sergio Pérez,Force India-Mercedes,56,+1:34.283,7,
12,14,Fernando Alonso,McLaren-Honda,56,+1:37.253,11,
13,22,Jenson Button,McLaren-Honda,56,+1:41.990,12,
14,21,Esteban Gutiérrez,Haas-Ferrari,55,+1 Lap,18,
15,27,Nico Hülkenberg,Force India-Mercedes,55,+1 Lap,13,
16,9,Marcus Ericsson,Sauber-Ferrari,55,+1 Lap,15,
17,20,Kevin Magnussen,Renault,55,+1 Lap,17,
18,94,Pascal Wehrlein,MRT-Mercedes,55,+1 Lap,21,
19,8,Romain Grosjean,Haas-Ferrari,55,+1 Lap,14,
20,12,Felipe Nasr,Sauber-Ferrari,55,+1 Lap,16,
21,88,Rio Haryanto,MRT-Mercedes,55,+1 Lap,20,
22,30,Jolyon Palmer,Renault,55,+1 Lap,19,
Source:
Total Laps,56
Fastest Lap,Nico Hülkenberg
