Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:15.485,1:14.839,1:14.363,1
2,44,Lewis Hamilton,Mercedes,1:15.243,1:14.748,1:14.470,2
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:15.591,1:15.545,1:14.726,3
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:15.875,1:15.124,1:14.834,4
5,7,Kimi Räikkönen,Ferrari,1:15.752,1:15.242,1:15.142,5
6,5,Sebastian Vettel,Ferrari,1:15.927,1:15.630,1:15.315,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:16.301,1:15.623,1:15.510,8
8,77,Valtteri Bottas,Williams-Mercedes,1:15.952,1:15.490,1:15.530,7
9,11,Sergio Pérez,Force India-Mercedes,1.16.169,1:15.500,1:15.537,9
10,19,Felipe Massa,Williams-Mercedes,1:16.503,1:15.699,1:15.615,10
11,21,Esteban Gutiérrez,Haas-Ferrari,1:15.987,1:15.883,,11
12,22,Jenson Button,McLaren-Honda,1:16.172,1:15.909,,12
13,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:16.317,1:15.989,,15
14,14,Fernando Alonso,McLaren-Honda,1:16.338,1:16.041,,13
15,8,Romain Grosjean,Haas-Ferrari,1:16.328,1:16.086,,20
16,30,Jolyon Palmer,Renault,1:16.636,1:16.665,,14
17,20,Kevin Magnussen,Renault,1:16.716,,,16
18,94,Pascal Wehrlein,MRT-Mercedes,1:16.717,,,17
19,26,Daniil Kvyat,Toro Rosso-Ferrari,1:16.876,,,18
20,88,Rio Haryanto,MRT-Mercedes,1:16.977,,,19
21,12,Felipe Nasr,Sauber-Ferrari,1:17.123,,,21
22,9,Marcus Ericsson,Sauber-Ferrari,1:17.238,,,22
107% time: 1:20.114
Source:
