Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,67,1:30:44.200,2,25
2,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,67,+6.996,3,18
3,33,Max Verstappen,Red Bull Racing-TAG Heuer,67,+13.413,4,15
4,6,Nico Rosberg,Mercedes,67,+15.845,1,12
5,5,Sebastian Vettel,Ferrari,67,+32.570,6,10
6,7,Kimi Räikkönen,Ferrari,67,+37.023,5,8
7,27,Nico Hülkenberg,Force India-Mercedes,67,+70.049,8,6
8,22,Jenson Button,McLaren-Honda,66,+1 Lap,12,4
9,77,Valtteri Bottas,Williams-Mercedes,66,+1 Lap,7,2
10,11,Sergio Pérez,Force India-Mercedes,66,+1 Lap,9,1
11,21,Esteban Gutiérrez,Haas-Ferrari,66,+1 Lap,11,
12,14,Fernando Alonso,McLaren-Honda,66,+1 Lap,13,
13,8,Romain Grosjean,Haas-Ferrari,66,+1 Lap,20,
14,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,66,+1 Lap,15,
15,26,Daniil Kvyat,Toro Rosso-Ferrari,66,+1 Lap,18,
16,20,Kevin Magnussen,Renault,66,+1 Lap,16,
17,94,Pascal Wehrlein,MRT-Mercedes,65,+2 Laps,17,
18,9,Marcus Ericsson,Sauber-Ferrari,65,+2 Laps,22,
19,30,Jolyon Palmer,Renault,65,+2 Laps,14,
20,88,Rio Haryanto,MRT-Mercedes,65,+2 Laps,19,
Ret,12,Felipe Nasr,Sauber-Ferrari,57,Power unit,21,
Ret,19,Felipe Massa,Williams-Mercedes,36,Suspension,10,
Source:
Total Laps,67
Fastest Lap,Daniel Ricciardo
