Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:33.302,1:22.806,1:19.965,1
2,44,Lewis Hamilton,Mercedes,1:34.210,1:24.836,1:20.108,2
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:39.968,1:23.234,1:20.280,3
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:40.424,1:22.660,1:20.557,4
5,5,Sebastian Vettel,Ferrari,1:35.718,1:24.082,1:20.874,5
6,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:36.115,1:24.734,1:21.131,6
7,14,Fernando Alonso,McLaren-Honda,1:35.165,1:23.816,1:21.211,7
8,22,Jenson Button,McLaren-Honda,1:37.983,1:24.456,1:21.597,8
9,27,Nico Hülkenberg,Force India-Mercedes,1:41.471,1:23.901,1:21.823,9
10,77,Valtteri Bottas,Williams-Mercedes,1:42.758,1:24.506,1:22.182,10
11,8,Romain Grosjean,Haas-Ferrari,1:35.906,1:24.941,,11
12,26,Daniil Kvyat,Toro Rosso-Ferrari,1:36.714,1:25.031,,12
13,11,Sergio Pérez,Force India-Mercedes,1:41.411,1:25.416,,13
14,7,Kimi Räikkönen,Ferrari,1:36.853,1:25.435,,14
15,21,Esteban Gutiérrez,Haas-Ferrari,1:38.959,1:26.189,,15
16,12,Felipe Nasr,Sauber-Ferrari,1:37.772,1:27.063,,16
107% time: 1:39.833
—,30,Jolyon Palmer,Renault,1:43.965,,,17
—,19,Felipe Massa,Williams-Mercedes,1:43.999,,,18
—,20,Kevin Magnussen,Renault,1:44.543,,,19
—,9,Marcus Ericsson,Sauber-Ferrari,1:46.984,,,20
—,94,Pascal Wehrlein,MRT-Mercedes,1:47.343,,,21
—,88,Rio Haryanto,MRT-Mercedes,1:50.189,,,22
Source:
