Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,70,1:40:30.115,2,25
2,6,Nico Rosberg,Mercedes,70,+1.977,1,18
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,70,+27.539,3,15
4,5,Sebastian Vettel,Ferrari,70,+28.213,5,12
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,70,+48.659,4,10
6,7,Kimi Räikkönen,Ferrari,70,+49.044,14,8
7,14,Fernando Alonso,McLaren-Honda,69,+1 Lap,7,6
8,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,69,+1 Lap,6,4
9,77,Valtteri Bottas,Williams-Mercedes,69,+1 Lap,10,2
10,27,Nico Hülkenberg,Force India-Mercedes,69,+1 Lap,9,1
11,11,Sergio Pérez,Force India-Mercedes,69,+1 Lap,13,
12,30,Jolyon Palmer,Renault,69,+1 Lap,17,
13,21,Esteban Gutiérrez,Haas-Ferrari,69,+1 Lap,15,
14,8,Romain Grosjean,Haas-Ferrari,69,+1 Lap,11,
15,20,Kevin Magnussen,Renault,69,+1 Lap,19,
16,26,Daniil Kvyat,Toro Rosso-Ferrari,69,+1 Lap,12,
17,12,Felipe Nasr,Sauber-Ferrari,69,+1 Lap,16,
18,19,Felipe Massa,Williams-Mercedes,68,+2 Laps,18,
19,94,Pascal Wehrlein,MRT-Mercedes,68,+2 Laps,20,
20,9,Marcus Ericsson,Sauber-Ferrari,68,+2 Laps,PL,
21,88,Rio Haryanto,MRT-Mercedes,68,+2 Laps,21,
Ret,22,Jenson Button,McLaren-Honda,60,Oil leak,8,
Source:
Total Laps,70
Fastest Lap,Kimi Räikkönen
