Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:21.854,1:21.498,1:21.135,1
2,6,Nico Rosberg,Mercedes,1:22.497,1:21.809,1:21.613,2
3,5,Sebastian Vettel,Ferrari,1:23.077,1:22.275,1:21.972,3
4,7,Kimi Räikkönen,Ferrari,1:23.217,1:22.568,1:22.065,4
5,77,Valtteri Bottas,Williams-Mercedes,1:23.264,1:22.499,1:22.388,5
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:23.158,1:22.638,1:22.389,6
7,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:23.229,1:22.857,1:22.411,7
8,11,Sergio Pérez,Force India-Mercedes,1:23.439,1:22.922,1:22.814,8
9,27,Nico Hülkenberg,Force India-Mercedes,1:23.259,1:22.951,1:22.836,9
10,21,Esteban Gutiérrez,Haas-Ferrari,1:23.386,1:22.856,1:23.184,10
11,19,Felipe Massa,Williams-Mercedes,1:23.489,1:22.967,,11
12,8,Romain Grosjean,Haas-Ferrari,1:23.421,1:23.092,,17
13,14,Fernando Alonso,McLaren-Honda,1:23.783,1:23.273,,12
14,94,Pascal Wehrlein,MRT-Mercedes,1:23.760,1:23.315,,13
15,22,Jenson Button,McLaren-Honda,1:23.666,1:23.399,,14
16,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:23.661,1:23.496,,15
17,26,Daniil Kvyat,Toro Rosso-Ferrari,1:23.825,,,16
18,12,Felipe Nasr,Sauber-Ferrari,1:23.956,,,18
19,9,Marcus Ericsson,Sauber-Ferrari,1:24.087,,,19
20,30,Jolyon Palmer,Renault,1:24.230,,,20
21,20,Kevin Magnussen,Renault,1:24.436,,,21
107% time: 1:27.583
–,31,Esteban Ocon,MRT-Mercedes,no time,,,22
Source:
