Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:31.858,1:30.714,1:30.647,1
2,44,Lewis Hamilton,Mercedes,1:32.218,1:31.129,1:30.660,2
3,7,Kimi Räikkönen,Ferrari,1:31.674,1:31.406,1:30.949,8
4,5,Sebastian Vettel,Ferrari,1:31.659,1:31.227,1:31.028,6
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:32.487,1:31.489,1:31.178,3
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:32.538,1:31.719,1:31.240,4
7,11,Sergio Pérez,Force India-Mercedes,1:32.682,1:32.237,1:31.961,5
8,8,Romain Grosjean,Haas-Ferrari,1:32.458,1:32.176,1:31.961,7
9,27,Nico Hülkenberg,Force India-Mercedes,1:32.448,1:32.200,1:32.142,9
10,21,Esteban Gutiérrez,Haas-Ferrari,1:32.620,1:32.155,1:32.547,10
11,77,Valtteri Bottas,Williams-Mercedes,1:32.383,1:32.315,,11
12,19,Felipe Massa,Williams-Mercedes,1:32.562,1:32.380,,12
13,26,Daniil Kvyat,Toro Rosso-Ferrari,1:32.645,1:32.623,,13
14,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:32.789,1:32.685,,14
15,14,Fernando Alonso,McLaren-Honda,1:32.819,1:32.689,,15
16,30,Jolyon Palmer,Renault,1:32.796,1:32.807,,16
17,22,Jenson Button,McLaren-Honda,1:32.851,,,22
18,20,Kevin Magnussen,Renault,1:33.023,,,17
19,9,Marcus Ericsson,Sauber-Ferrari,1:33.222,,,18
20,12,Felipe Nasr,Sauber-Ferrari,1:33.332,,,19
21,31,Esteban Ocon,MRT-Mercedes,1:33.353,,,20
22,94,Pascal Wehrlein,MRT-Mercedes,1:33.561,,,21
107% time: 1:38.075
Source:
