Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,6,Nico Rosberg,Mercedes,53,1:26:43.333,1,25
2,33,Max Verstappen,Red Bull Racing-TAG Heuer,53,+4.978,3,18
3,44,Lewis Hamilton,Mercedes,53,+5.776,2,15
4,5,Sebastian Vettel,Ferrari,53,+20.269,6,12
5,7,Kimi Räikkönen,Ferrari,53,+28.370,8,10
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,53,+33.941,4,8
7,11,Sergio Pérez,Force India-Mercedes,53,+57.495,5,6
8,27,Nico Hülkenberg,Force India-Mercedes,53,+59.177,9,4
9,19,Felipe Massa,Williams-Mercedes,53,+1:37.763,12,2
10,77,Valtteri Bottas,Williams-Mercedes,53,+1:38.323,11,1
11,8,Romain Grosjean,Haas-Ferrari,53,+1:39.254,7,
12,30,Jolyon Palmer,Renault,52,+1 Lap,16,
13,26,Daniil Kvyat,Toro Rosso-Ferrari,52,+1 Lap,13,
14,20,Kevin Magnussen,Renault,52,+1 Lap,17,
15,9,Marcus Ericsson,Sauber-Ferrari,52,+1 Lap,18,
16,14,Fernando Alonso,McLaren-Honda,52,+1 Lap,15,
17,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,52,+1 Lap,14,
18,22,Jenson Button,McLaren-Honda,52,+1 Lap,22,
19,12,Felipe Nasr,Sauber-Ferrari,52,+1 Lap,19,
20,21,Esteban Gutiérrez,Haas-Ferrari,52,+1 Lap,10,
21,31,Esteban Ocon,MRT-Mercedes,52,+1 Lap,20,
22,94,Pascal Wehrlein,MRT-Mercedes,52,+1 Lap,21,
Source:
Total Laps,53
Fastest Lap,Sebastian Vettel
