Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:34.444,1:33.046,1:32.850,1
2,6,Nico Rosberg,Mercedes,1:34.460,1:33.609,1:33.264,2
3,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:35.443,1:33.775,1:33.420,3
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:35.079,1:33.888,1:33.467,4
5,5,Sebastian Vettel,Ferrari,1:34.557,1:33.972,1:33.584,5
6,7,Kimi Räikkönen,Ferrari,1:34.556,1:33.903,1:33.632,6
7,11,Sergio Pérez,Force India-Mercedes,1:35.068,1:34.538,1:34.319,7
8,27,Nico Hülkenberg,Force India-Mercedes,1:34.827,1:34.441,1:34.489,8
9,22,Jenson Button,McLaren-Honda,1:35.267,1:34.431,1:34.518,9
10,19,Felipe Massa,Williams-Mercedes,1:35.267,1:34.422,1:34.671,10
11,77,Valtteri Bottas,Williams-Mercedes,1:35.166,1:34.577,,11
12,8,Romain Grosjean,Haas-Ferrari,1:35.400,1:35.001,,12
13,21,Esteban Gutiérrez,Haas-Ferrari,1:35.658,1:35.097,,13
14,20,Kevin Magnussen,Renault,1:35.593,1:35.277,,14
15,26,Daniil Kvyat,Toro Rosso-Ferrari,1:35.695,1:35.369,,15
16,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:35.605,1:35.374,,16
17,9,Marcus Ericsson,Sauber-Ferrari,1:35.816,,,17
18,12,Felipe Nasr,Sauber-Ferrari,1:35.949,,,18
19,30,Jolyon Palmer,Renault,1:35.999,,,19
20,31,Esteban Ocon,MRT-Mercedes,1:36.451,,,20
21,94,Pascal Wehrlein,MRT-Mercedes,1:36.587,,,21
22,14,Fernando Alonso,McLaren-Honda,1:37.155,,,22
107% time: 1:41.055
Source:
