Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:19.447,1:19.137,1:18.704,1
2,6,Nico Rosberg,Mercedes,1:19.996,1:19.761,1:18.958,2
3,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:19.874,1:18.972,1:19.054,3
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:19.713,1:19.553,1:19.133,4
5,27,Nico Hülkenberg,Force India-Mercedes,1:20.599,1:19.769,1:19.330,5
6,7,Kimi Räikkönen,Ferrari,1:19.554,1:19.936,1:19.376,6
7,5,Sebastian Vettel,Ferrari,1:19.865,1:19.385,1:19.381,7
8,77,Valtteri Bottas,Williams-Mercedes,1:20.338,1:19.958,1:19.551,8
9,19,Felipe Massa,Williams-Mercedes,1:20.423,1:20.151,1:20.032,9
10,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:20.457,1:20.169,1:20.378,10
11,14,Fernando Alonso,McLaren-Honda,1:20.552,1:20.282,,11
12,11,Sergio Pérez,Force India-Mercedes,1:20.308,1:20.287,,12
13,22,Jenson Button,McLaren-Honda,1:21.333,1:20.673,,13
14,20,Kevin Magnussen,Renault,1:21.254,1:21.131,,14
15,9,Marcus Ericsson,Sauber-Ferrari,1:21.062,1:21.536,,15
16,94,Pascal Wehrlein,MRT-Mercedes,1:21.363,1:21.785,,16
17,21,Esteban Gutiérrez,Haas-Ferrari,1:21.401,,,17
18,26,Daniil Kvyat,Toro Rosso-Ferrari,1:21.454,,,18
19,12,Felipe Nasr,Sauber-Ferrari,1:21.692,,,19
20,31,Esteban Ocon,MRT-Mercedes,1:21.881,,,20
21,8,Romain Grosjean,Haas-Ferrari,1:21.916,,,21
107% time: 1:25.008
—,30,Jolyon Palmer,Renault,no time,,,22
Source:
