Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,71,1:40:31.402,1,25
2,6,Nico Rosberg,Mercedes,71,+8.354,2,18
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,71,+20.858,4,15
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,71,+21.323,3,12
5,5,Sebastian Vettel,Ferrari,71,+27.313,7,10
6,7,Kimi Räikkönen,Ferrari,71,+49.376,6,8
7,27,Nico Hülkenberg,Force India-Mercedes,71,+58.891,5,6
8,77,Valtteri Bottas,Williams-Mercedes,71,+1:05.612,8,4
9,19,Felipe Massa,Williams-Mercedes,71,+1:16.206,9,2
10,11,Sergio Pérez,Force India-Mercedes,71,+1:16.798,12,1
11,9,Marcus Ericsson,Sauber-Ferrari,70,+1 Lap,15,
12,22,Jenson Button,McLaren-Honda,70,+1 Lap,13,
13,14,Fernando Alonso,McLaren-Honda,70,+1 Lap,11,
14,30,Jolyon Palmer,Renault,70,+1 Lap,21,
15,12,Felipe Nasr,Sauber-Ferrari,70,+1 Lap,19,
16,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,70,+1 Lap,10,
17,20,Kevin Magnussen,Renault,70,+1 Lap,14,
18,26,Daniil Kvyat,Toro Rosso-Ferrari,70,+1 Lap,18,
19,21,Esteban Gutiérrez,Haas-Ferrari,70,+1 Lap,17,
20,8,Romain Grosjean,Haas-Ferrari,70,+1 Lap,PL,
21,31,Esteban Ocon,MRT-Mercedes,69,+2 Laps,20,
Ret,94,Pascal Wehrlein,MRT-Mercedes,0,Collision,16,
Source:
Total Laps,71
Fastest Lap,Daniel Ricciardo
