Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:14.912,1:14.357,1:13.622,1
2,6,Nico Rosberg,Mercedes,1:14.873,1:14.043,1:13.791,2
3,44,Lewis Hamilton,Mercedes,1:14.826,1:14.056,1:13.942,3
4,5,Sebastian Vettel,Ferrari,1:14.610,1:14.318,1:14.552,4
5,27,Nico Hülkenberg,Force India-Mercedes,1:15.333,1:14.989,1:14.726,5
6,7,Kimi Räikkönen,Ferrari,1:15.499,1:14.789,1:14.732,11
7,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:15.467,1:14.805,1:14.749,6
8,11,Sergio Pérez,Force India-Mercedes,1:15.328,1:14.937,1:14.902,7
9,26,Daniil Kvyat,Toro Rosso-Ferrari,1:15.384,1:14.794,1:15.273,8
10,14,Fernando Alonso,McLaren-Honda,1:15.504,1:15.107,1:15.363,9
11,77,Valtteri Bottas,Williams-Mercedes,1:15.521,1:15.273,,10
12,21,Esteban Gutiérrez,Haas-Ferrari,1:15.592,1:15.293,,12
13,22,Jenson Button,McLaren-Honda,1:15.554,1:15.352,,13
14,19,Felipe Massa,Williams-Mercedes,1:15.710,1:15.385,,14
15,8,Romain Grosjean,Haas-Ferrari,1:15.465,1:15.571,,15
16,20,Kevin Magnussen,Renault,1:16.253,1:16.058,,16
17,9,Marcus Ericsson,Sauber-Ferrari,1:16.299,,,17
18,30,Jolyon Palmer,Renault,1:16.586,,,18
19,88,Rio Haryanto,MRT-Mercedes,1:17.295,,,19
20,94,Pascal Wehrlein,MRT-Mercedes,1:17.452,,,20
107% time: 1:19.832
—,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:22.467,,,PL
—,12,Felipe Nasr,Sauber-Ferrari,no time,,,PL
Source:
