Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:36.119,1:35.337,1:35.417,1
2,5,Sebastian Vettel,Ferrari,1:36.555,1:36.623,1:36.123,7
3,77,Valtteri Bottas,Williams-Mercedes,1:37.746,1:37.140,1:36.536,2
4,7,Kimi Räikkönen,Ferrari,1:36.976,1:36.741,1:36.663,3
5,19,Felipe Massa,Williams-Mercedes,1:37.753,1:37.230,1:37.016,4
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:38.091,1:37.569,1:37.125,5
7,11,Sergio Pérez,Force India-Mercedes,1:38.006,1:37.282,1:37.212,6
8,26,Daniil Kvyat,Red Bull Racing-TAG Heuer,1:38.265,1:37.606,1:37.459,8
9,33,Max Verstappen,Toro Rosso-Ferrari,1:38.123,1:37.510,1:37.583,9
10,44,Lewis Hamilton,Mercedes,1:36.006,1:35.820,no time,10
11,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:37.784,1:37.652,,11
12,22,Jenson Button,McLaren-Honda,1:38.332,1:37.701,,12
13,27,Nico Hülkenberg,Force India-Mercedes,1:38.562,1:37.771,,13
14,14,Fernando Alonso,McLaren-Honda,1:37.971,1:37.807,,14
15,8,Romain Grosjean,Haas-Ferrari,1:38.383,1:38.055,,15
16,21,Esteban Gutiérrez,Haas-Ferrari,1:38.678,1:38.115,,16
17,20,Kevin Magnussen,Renault,1:38.914,,,17
18,30,Jolyon Palmer,Renault,1:39.009,,,18
19,12,Felipe Nasr,Sauber-Ferrari,1:39.018,,,19
20,94,Pascal Wehrlein,MRT-Mercedes,1:39.399,,,20
21,88,Rio Haryanto,MRT-Mercedes,1:39.463,,,21
22,9,Marcus Ericsson,Sauber-Ferrari,1:39.519,,,22
107% time: 1:42.726
Source:
