Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,6,Nico Rosberg,Mercedes,53,1:32:41.997,1,25
2,44,Lewis Hamilton,Mercedes,53,+25.022,10,18
3,7,Kimi Räikkönen,Ferrari,53,+31.998,3,15
4,77,Valtteri Bottas,Williams-Mercedes,53,+50.217,2,12
5,19,Felipe Massa,Williams-Mercedes,53,+1:14.527,4,10
6,14,Fernando Alonso,McLaren-Honda,52,+1 Lap,14,8
7,20,Kevin Magnussen,Renault,52,+1 Lap,17,6
8,8,Romain Grosjean,Haas-Ferrari,52,+1 Lap,15,4
9,11,Sergio Pérez,Force India-Mercedes,52,+1 Lap,6,2
10,22,Jenson Button,McLaren-Honda,52,+1 Lap,12,1
11,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,52,+1 Lap,5,
12,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,52,+1 Lap,11,
13,30,Jolyon Palmer,Renault,52,+1 Lap,18,
14,9,Marcus Ericsson,Sauber-Ferrari,52,+1 Lap,22,
15,26,Daniil Kvyat,Red Bull Racing-TAG Heuer,52,+1 Lap,8,
16,12,Felipe Nasr,Sauber-Ferrari,52,+1 Lap,19,
17,21,Esteban Gutiérrez,Haas-Ferrari,52,+1 Lap,16,
18,94,Pascal Wehrlein,MRT-Mercedes,51,+2 Laps,20,
Ret,33,Max Verstappen,Toro Rosso-Ferrari,33,Power unit,9,
Ret,5,Sebastian Vettel,Ferrari,0,Collision,7,
Ret,27,Nico Hülkenberg,Force India-Mercedes,0,Collision,13,
Ret,88,Rio Haryanto,MRT-Mercedes,0,Collision,21,
Source:
Total Laps,53
Fastest Lap,Nico Rosberg
