Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:45.316,1:43.020,1:42.584,1
2,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:44.255,1:43.933,1:43.115,2
3,44,Lewis Hamilton,Mercedes,1:45.167,1:43.471,1:43.288,3
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:45.036,1:44.112,1:43.328,4
5,7,Kimi Räikkönen,Ferrari,1:44.964,1:44.159,1:43.540,5
6,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:45.499,1:44.493,1:44.197,6
7,26,Daniil Kvyat,Toro Rosso-Ferrari,1:45.291,1:44.475,1:44.469,7
8,27,Nico Hülkenberg,Force India-Mercedes,1:46.081,1:44.737,1:44.479,8
9,14,Fernando Alonso,McLaren-Honda,1:45.373,1:44.653,1:44.553,9
10,11,Sergio Pérez,Force India-Mercedes,1:45.204,1:44.703,1:44.582,17
11,77,Valtteri Bottas,Williams-Mercedes,1:46.086,1:44.740,,10
12,19,Felipe Massa,Williams-Mercedes,1:46.056,1:44.991,,11
13,22,Jenson Button,McLaren-Honda,1:45.262,1:45.144,,12
14,21,Esteban Gutiérrez,Haas-Ferrari,1:45.465,1:45.593,,13
15,8,Romain Grosjean,Haas-Ferrari,1:45.609,1:45.723,,20
16,9,Marcus Ericsson,Sauber-Ferrari,1:46.427,1:47.827,,14
17,20,Kevin Magnussen,Renault,1:46.825,,,15
18,12,Felipe Nasr,Sauber-Ferrari,1:46.860,,,16
19,30,Jolyon Palmer,Renault,1:46.960,,,18
20,94,Pascal Wehrlein,MRT-Mercedes,1:47.667,,,19
21,31,Esteban Ocon,MRT-Mercedes,1:48.296,,,21
22,5,Sebastian Vettel,Ferrari,1:49.116,,,22
107% time: 1:51.552
Source:
