Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:30.739,1:29.243,1:29.287,1
2,6,Nico Rosberg,Mercedes,1:30.724,1:29.970,1:29.606,2
3,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:31.305,1:30.697,1:30.313,3
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:31.684,1:31.319,1:30.618,4
5,7,Kimi Räikkönen,Ferrari,1:31.326,1:31.385,1:30.881,5
6,5,Sebastian Vettel,Ferrari,1:31.606,1:30.711,1:31.490,11
7,77,Valtteri Bottas,Williams-Mercedes,1:31.913,1:31.478,1:31.557,6
8,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:32.115,1:31.708,1:31.989,7
9,27,Nico Hülkenberg,Force India-Mercedes,1:32.349,1:31.770,1:32.172,8
10,14,Fernando Alonso,McLaren-Honda,1:32.281,1:31.740,1:32.343,9
11,11,Sergio Pérez,Force India-Mercedes,1:32.336,1:31.875,,10
12,19,Felipe Massa,Williams-Mercedes,1:32.146,1:32.002,,12
13,8,Romain Grosjean,Haas-Ferrari,1:32.283,1:32.050,,13
14,21,Esteban Gutiérrez,Haas-Ferrari,1:32.237,1:32.241,,14
15,26,Daniil Kvyat,Toro Rosso-Ferrari,1:32.553,1:32.306,,15
16,20,Kevin Magnussen,Renault,1:32.729,1:37.060,,16
17,22,Jenson Button,McLaren-Honda,1:32.788,,,17
18,30,Jolyon Palmer,Renault,1:32.905,,,18
19,88,Rio Haryanto,MRT-Mercedes,1:33.098,,,19
20,94,Pascal Wehrlein,MRT-Mercedes,1:33.151,,,20
21,12,Felipe Nasr,Sauber-Ferrari,1:33.544,,,21
107% time: 1:37.074
—,9,Marcus Ericsson,Sauber-Ferrari,no time,,,PL
Source:
