Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,52,1:34:55.831,1,25
2,33,Max Verstappen,Red Bull Racing-TAG Heuer,52,+8.250,3,18
3,6,Nico Rosberg,Mercedes,52,+16.911,2,15
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,52,+26.211,4,12
5,7,Kimi Räikkönen,Ferrari,52,+1:09.743,5,10
6,11,Sergio Pérez,Force India-Mercedes,52,+1:16.941,10,8
7,27,Nico Hülkenberg,Force India-Mercedes,52,+1:17.712,8,6
8,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,52,+1.25.858,7,4
9,5,Sebastian Vettel,Ferrari,52,+1:31.654,11,2
10,26,Daniil Kvyat,Toro Rosso-Ferrari,52,+1:32.600,15,1
11,19,Felipe Massa,Williams-Mercedes,51,+1 Lap,12,
12,22,Jenson Button,McLaren-Honda,51,+1 Lap,17,
13,14,Fernando Alonso,McLaren-Honda,51,+1 Lap,9,
14,77,Valtteri Bottas,Williams-Mercedes,51,+1 Lap,6,
15,12,Felipe Nasr,Sauber-Ferrari,51,+1 Lap,21,
16,21,Esteban Gutiérrez,Haas-Ferrari,51,+1 Lap,14,
17,20,Kevin Magnussen,Renault,49,Gearbox,16,
Ret,30,Jolyon Palmer,Renault,37,Gearbox,18,
Ret,88,Rio Haryanto,MRT-Mercedes,24,Spun off,19,
Ret,8,Romain Grosjean,Haas-Ferrari,17,Transmission,13,
Ret,9,Marcus Ericsson,Sauber-Ferrari,11,Power unit,PL,
Ret,94,Pascal Wehrlein,MRT-Mercedes,6,Spun off,20,
Source:
Total Laps,52
Fastest Lap,Nico Rosberg
