Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:36.296,1:36.450,1:34.999,1
2,6,Nico Rosberg,Mercedes,1:36.397,1:36.351,1:35.215,2
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:36.759,1:36.255,1:35.509,3
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:36.613,1:36.857,1:35.747,4
5,7,Kimi Räikkönen,Ferrari,1:36.985,1:36.584,1:36.131,5
6,5,Sebastian Vettel,Ferrari,1:37.151,1:36.462,1:36.358,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:36.950,1:36.626,1:36.628,7
8,77,Valtteri Bottas,Williams-Mercedes,1:37.456,1:37.202,1:37.116,8
9,19,Felipe Massa,Williams-Mercedes,1:37.402,1:37.214,1:37.269,9
10,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,1:37.744,1:37.175,1:37.326,10
11,11,Sergio Pérez,Force India-Mercedes,1:37.345,1:37.353,,11
12,14,Fernando Alonso,McLaren-Honda,1:37.913,1:37.417,,12
13,26,Daniil Kvyat,Toro Rosso-Ferrari,1:37.844,1:37.480,,13
14,21,Esteban Gutiérrez,Haas-Ferrari,1:38.053,1:37.773,,14
15,30,Jolyon Palmer,Renault,1:38.084,1:37.935,,15
16,9,Marcus Ericsson,Sauber-Ferrari,1:38.040,1:39.956,,16
17,8,Romain Grosjean,Haas-Ferrari,1:38.308,,,17
18,20,Kevin Magnussen,Renault,1:38.317,,,18
19,22,Jenson Button,McLaren-Honda,1:38.327,,,19
20,94,Pascal Wehrlein,MRT-Mercedes,1:38.548,,,20
21,12,Felipe Nasr,Sauber-Ferrari,1:38.583,,,21
22,31,Esteban Ocon,MRT-Mercedes,1:38.806,,,22
107% time: 1:43.036
Source:
