Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,Lewis Hamilton,Mercedes,56,1:38:12.618,1,25
2,6,Nico Rosberg,Mercedes,56,+4.520,2,18
3,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,56,+19.692,3,15
4,5,Sebastian Vettel,Ferrari,56,+43.134,6,12
5,14,Fernando Alonso,McLaren-Honda,56,+1:33.953,12,10
6,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,56,+1:36.124,10,8
7,19,Felipe Massa,Williams-Mercedes,55,+1 lap,9,6
8,11,Sergio Pérez,Force India-Mercedes,55,+1 lap,11,4
9,22,Jenson Button,McLaren-Honda,55,+1 lap,19,2
10,8,Romain Grosjean,Haas-Ferrari,55,+1 lap,17,1
11,26,Daniil Kvyat,Toro Rosso-Ferrari,55,+1 lap,13,
12,20,Kevin Magnussen,Renault,55,+1 lap,18,
13,30,Jolyon Palmer,Renault,55,+1 lap,15,
14,9,Marcus Ericsson,Sauber-Ferrari,55,+1 lap,16,
15,12,Felipe Nasr,Sauber-Ferrari,55,+1 lap,21,
16,77,Valtteri Bottas,Williams-Mercedes,55,+1 lap,8,
17,94,Pascal Wehrlein,MRT-Mercedes,55,+1 lap,20,
18,31,Esteban Ocon,MRT-Mercedes,54,+2 laps,22,
Ret,7,Kimi Räikkönen,Ferrari,38,Loose wheel,5,
Ret,33,Max Verstappen,Red Bull Racing-TAG Heuer,28,Gearbox,4,
Ret,21,Esteban Gutiérrez,Haas-Ferrari,16,Brakes,14,
Ret,27,Nico Hülkenberg,Force India-Mercedes,1,Collision damage,7,
Source:
Total Laps,56
Fastest Lap,Sebastian Vettel
