Racer,Team,Australia $,Australia Pts,Malaysia $,Malaysia Pts,China $,China Pts,Bahrain $,Bahrain Pts,Spain $,Spain Pts,Monaco $,Monaco Pts,Canada $,Canada Pts,Austria $,Austria Pts,England $,England Pts,Hungary $,Hungary Pts,Belgium $,Belgium Pts,Italy $,Italy Pts,Singapore $,Singapore Pts,Japan $,Japan Pts,Russia $,Russia Pts,America $,America Pts,Mexico $,Mexico Pts,Brazil $,Brazil Pts,Abu Dhabi $,Abu Dhabi Pts
Lewis Hamilton,Mercedes,11,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Rosberg,Mercedes,7,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Vettel,Ferrari,10,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi Räikkönen,Ferrari,4,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Ricciardo,Red Bull-TAG Heuer,4,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valtteri Bottas,Williams-Mercedes,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Massa,Williams-Mercedes,8,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Hülkenberg,Force India-Mercedes,4,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romain Grosjean,Haas-Ferrari,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Verstappen,Toro Rosso-Ferrari,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Sainz Jr.,Toro Rosso-Ferrari,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoffel Vandoorne,McLaren-Honda,2,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Gutiérrez,Haas-Ferrari,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenson Button,McLaren-Honda,1,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniil Kvyat,Red Bull-TAG Heuer,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Wehrlein,MRT-Mercedes,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Ericsson,Sauber-Ferrari,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Pérez,Force India-Mercedes,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Magnussen,Renault,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolyon Palmer,Renault,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Haryanto,MRT-Mercedes,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Nasr,Sauber-Ferrari,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Alonso,Mclaren,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
