Team,Australia Driver,Australia  Pts,Bahrain Driver,Bahrain  Pts,China Driver,China  Pts,Russia Driver,Russia Pts,Spain Driver,Spain  Pts,Monaco Driver,Monaco  Pts,Canada Driver,Canada  Pts,Azerbaijan Driver,Azerbaijan Pts,Austria Driver,Austria Pts,UK Driver,UK Pts,Hungary Driver,Hungary Pts,Germany Driver,Germany Pts,Belgium Driver,Belgium Pts,Italy Driver,Italy Pts,Singapore Driver,Singapore Pts,Malaysia Driver,Malaysia Pts,Japan Driver,Japan Pts,USA Driver,USA Pts,Mexico Driver,Mexico Pts,Brazil Driver,Brazil Pts,UAE Driver,UAE Pts
Mike,,,Carlos Sainz Jr.,2,Sergio Pérez,6,Sergio Pérez,8,Sergio Pérez,10,Sebastian Vettel,13,Valtteri Bottas,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,,,Nico Rosberg,19,Nico Rosberg,17,Nico Rosberg,19,Lewis Hamilton,3,Lewis Hamilton,20,Daniel Ricciardo,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,,,Valtteri Bottas,7,Lewis Hamilton,17,Lewis Hamilton,20,Nico Rosberg,2,Nico Rosberg,9,Nico Rosberg,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,,,Sebastian Vettel,2,Valtteri Bottas,6,Sebastian Vettel,2,Max Verstappen,17,Daniel Ricciardo,16,Sebastian Vettel,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,,,Sergio Pérez,3,Sebastian Vettel,17,Valtteri Bottas,13,Sebastian Vettel,14,Daniil Kvyat,2,Sergio Pérez,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,,,Total:,33,Total:,63,Total:,62,Total:,46,Total:,60,Total:,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,,,Daniil Kvyat,12,Sergio Pérez,6,Carlos Sainz Jr.,5,Jenson Button,7,Nico Hülkenberg,10,Romain Grosjean,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,,,Nico Rosberg,19,Nico Rosberg,17,Lewis Hamilton,20,Lewis Hamilton,3,Lewis Hamilton,20,Nico Rosberg,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,,,Lewis Hamilton,14,Lewis Hamilton,17,Daniil Kvyat,5,Nico Rosberg,2,Nico Rosberg,9,Kimi Räikkönen,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,,,Kimi Räikkönen,16,Kimi Räikkönen,11,Sebastian Vettel,2,Kimi Räikkönen,16,Sebastian Vettel,13,Daniil Kvyat,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
