,DateOfBirth,FamilyName,GivenName,Nationality,PermanentNumber,code,driverid,color
0,7/29/1981,Alonso,Fernando,Spanish,14,ALO,alonso,#808080
1,8/29/1989,Bottas,Valtteri,Finnish,77,BOT,bottas,#ffffff
2,1/19/1980,Button,Jenson,British,22,BUT,button,#808080
3,9/2/1990,Ericsson,Marcus,Swedish,9,ERI,ericsson,#0063ff
4,4/17/1986,Grosjean,Romain,French,8,GRO,grosjean,#6C0000
5,8/5/1991,Gutiérrez,Esteban,Mexican,21,GUT,gutierrez,#6C0000
6,1/7/1985,Hamilton,Lewis,British,44,HAM,hamilton,#2AB4A5
7,1/20/1993,Haryanto,Rio,Indonesian,88,HAR,haryanto,#323232
8,8/19/1987,Hülkenberg,Nico,German,27,HUL,hulkenberg,#f67929
9,4/26/1994,Kvyat,Daniil,Russian,26,KVY,kvyat,#0005c1
10,10/5/1992,Magnussen,Kevin,Danish,20,MAG,kevin_magnussen,#f7b100
11,4/25/1981,Massa,Felipe,Brazilian,19,MAS,massa,#ffffff
12,8/21/1992,Nasr,Felipe,Brazilian,12,NAS,nasr,#0063ff
13,9/17/1996,Ocon,Esteban,French,31,OCO,ocon,#323232
14,1/20/1991,Palmer,Jolyon,British,30,PAL,jolyon_palmer,#f7b100
15,1/26/1990,Pérez,Sergio,Mexican,11,PER,perez,#f67929
16,10/17/1979,Räikkönen,Kimi,Finnish,7,RAI,raikkonen,#c30000
17,7/1/1989,Ricciardo,Daniel,Australian,3,RIC,ricciardo,#4f1aab
18,6/27/1985,Rosberg,Nico,German,6,ROS,rosberg,#2AB4A5
19,9/1/1994,Sainz,Carlos,Spanish,55,SAI,sainz,#0005c1
20,3/26/1992,Vandoorne,Stoffel,Belgian,47,VAN,vandoorne,#808080
21,9/30/1997,Verstappen,Max,Dutch,33,VES,max_verstappen,#4f1aab
22,7/3/1987,Vettel,Sebastian,German,5,VET,vettel,#c30000
23,10/18/1994,Wehrlein,Pascal,German,94,WEH,wehrlein,#323232
