,DateOfBirth,FamilyName,GivenName,Nationality,PermanentNumber,code,driverid
0,1981-07-29,Alonso,Fernando,Spanish,14,ALO,alonso
1,1989-08-29,Bottas,Valtteri,Finnish,77,BOT,bottas
2,1980-01-19,Button,Jenson,British,22,BUT,button
3,1990-09-02,Ericsson,Marcus,Swedish,9,ERI,ericsson
4,1986-04-17,Grosjean,Romain,French,8,GRO,grosjean
5,1991-08-05,Gutiérrez,Esteban,Mexican,21,GUT,gutierrez
6,1985-01-07,Hamilton,Lewis,British,44,HAM,hamilton
7,1993-01-20,Haryanto,Rio,Indonesian,88,HAR,haryanto
8,1987-08-19,Hülkenberg,Nico,German,27,HUL,hulkenberg
9,1994-04-26,Kvyat,Daniil,Russian,26,KVY,kvyat
10,1992-10-05,Magnussen,Kevin,Danish,20,MAG,kevin_magnussen
11,1981-04-25,Massa,Felipe,Brazilian,19,MAS,massa
12,1992-08-21,Nasr,Felipe,Brazilian,12,NAS,nasr
13,1996-09-17,Ocon,Esteban,French,31,OCO,ocon
14,1991-01-20,Palmer,Jolyon,British,30,PAL,jolyon_palmer
15,1990-01-26,Pérez,Sergio,Mexican,11,PER,perez
16,1979-10-17,Räikkönen,Kimi,Finnish,7,RAI,raikkonen
17,1989-07-01,Ricciardo,Daniel,Australian,3,RIC,ricciardo
18,1985-06-27,Rosberg,Nico,German,6,ROS,rosberg
19,1994-09-01,Sainz,Carlos,Spanish,55,SAI,sainz
20,1992-03-26,Vandoorne,Stoffel,Belgian,47,VAN,vandoorne
21,1997-09-30,Verstappen,Max,Dutch,33,VES,max_verstappen
22,1987-07-03,Vettel,Sebastian,German,5,VET,vettel
23,1994-10-18,Wehrlein,Pascal,German,94,WEH,wehrlein
