,driverid,lap,cume_sec
0,Daniel Ricciardo,1,103.31499862670898
1,Nico Rosberg,1,104.08399963378906
2,Daniil Kvyat,1,105.49100112915039
3,Sergio Pérez,1,106.3740005493164
4,Nico Hülkenberg,1,106.98099899291992
5,Carlos Sainz Jr.,1,107.53900146484375
6,Felipe Massa,1,108.08599853515625
7,Sebastian Vettel,1,108.6510009765625
8,Jenson Button,1,109.02399826049805
9,Valtteri Bottas,1,109.32300186157227
10,Marcus Ericsson,1,110.21099853515625
11,Max Verstappen,1,110.44499969482422
12,Fernando Alonso,1,111.01100158691406
13,Kevin Magnussen,1,111.50199890136719
14,Pascal Wehrlein,1,111.97200012207031
15,Jolyon Palmer,1,112.61000061035156
16,Esteban Gutiérrez,1,113.19300079345703
17,Rio Haryanto,1,113.81600189208984
18,Romain Grosjean,1,119.72800064086914
19,Kimi Räikkönen,1,124.62099981307983
20,Lewis Hamilton,1,130.72900009155273
21,Felipe Nasr,1,170.22600173950195
22,Daniel Ricciardo,2,205.62399673461914
23,Nico Rosberg,2,206.3769989013672
24,Daniil Kvyat,2,208.50900268554688
25,Sergio Pérez,2,209.70299911499023
26,Nico Hülkenberg,2,210.65900039672852
27,Carlos Sainz Jr.,2,211.38700103759766
28,Sebastian Vettel,2,212.19700241088867
29,Jenson Button,2,213.00399780273438
30,Felipe Massa,2,213.59299850463867
31,Valtteri Bottas,2,213.9020004272461
32,Max Verstappen,2,214.4290008544922
33,Marcus Ericsson,2,215.31999969482422
34,Fernando Alonso,2,216.0250015258789
35,Kevin Magnussen,2,216.6709976196289
36,Pascal Wehrlein,2,217.32799911499023
37,Jolyon Palmer,2,218.49499893188477
38,Esteban Gutiérrez,2,218.78200149536133
39,Rio Haryanto,2,219.57300186157227
40,Kimi Räikkönen,2,252.26799964904785
41,Lewis Hamilton,2,256.76700019836426
42,Romain Grosjean,2,277.67399978637695
43,Felipe Nasr,2,306.8400020599365
44,Nico Rosberg,3,308.8460006713867
45,Daniil Kvyat,3,312.0170021057129
46,Sergio Pérez,3,313.4139976501465
47,Nico Hülkenberg,3,314.95100021362305
48,Carlos Sainz Jr.,3,315.2490005493164
49,Sebastian Vettel,3,315.7320022583008
50,Jenson Button,3,316.61999893188477
51,Valtteri Bottas,3,317.7680015563965
52,Felipe Massa,3,318.21299743652344
53,Max Verstappen,3,318.992000579834
54,Marcus Ericsson,3,320.2789993286133
55,Fernando Alonso,3,320.8550033569336
56,Kevin Magnussen,3,321.5819969177246
57,Daniel Ricciardo,3,321.97299575805664
58,Pascal Wehrlein,3,322.86199951171875
59,Jolyon Palmer,3,324.5999984741211
60,Esteban Gutiérrez,3,325.06600189208984
61,Rio Haryanto,3,325.7110023498535
62,Kimi Räikkönen,3,353.8459987640381
63,Lewis Hamilton,3,358.0599994659424
64,Romain Grosjean,3,380.76399993896484
65,Nico Rosberg,4,419.35300064086914
66,Felipe Nasr,3,420.1280002593994
67,Daniil Kvyat,4,427.3290023803711
68,Sergio Pérez,4,431.03099822998047
69,Felipe Massa,4,434.7169990539551
70,Sebastian Vettel,4,435.2690010070801
71,Nico Hülkenberg,4,435.65400022268295
72,Carlos Sainz Jr.,4,436.07000052928925
73,Jenson Button,4,436.5659980773926
74,Valtteri Bottas,4,437.2310028076172
75,Fernando Alonso,4,437.6390037536621
76,Max Verstappen,4,438.92499923706055
77,Pascal Wehrlein,4,440.3299980163574
78,Marcus Ericsson,4,440.96099931001663
79,Esteban Gutiérrez,4,442.9290008544922
80,Kevin Magnussen,4,443.08099687099457
81,Jolyon Palmer,4,443.7430000305176
82,Rio Haryanto,4,445.7180023500696
83,Daniel Ricciardo,4,461.91699600219727
84,Kimi Räikkönen,4,477.6929986476898
85,Lewis Hamilton,4,484.39499950408936
86,Romain Grosjean,4,513.1400003433228
87,Nico Rosberg,5,563.9309997558594
88,Felipe Nasr,4,564.7059993743896
89,Felipe Massa,5,570.2689990997314
90,Fernando Alonso,5,574.286003112793
91,Pascal Wehrlein,5,577.189998626709
92,Esteban Gutiérrez,5,578.5300006866455
93,Daniil Kvyat,5,579.2950019836426
94,Jolyon Palmer,5,580.5669994354248
95,Rio Haryanto,5,581.681002647616
96,Sergio Pérez,5,582.5409984588623
97,Valtteri Bottas,5,587.5740032196045
98,Jenson Button,5,588.898998260498
99,Carlos Sainz Jr.,5,589.6619995832443
100,Nico Hülkenberg,5,590.4409989714622
101,Marcus Ericsson,5,591.9709995388985
102,Sebastian Vettel,5,593.6259994506836
103,Kevin Magnussen,5,595.0779966115952
104,Daniel Ricciardo,5,597.3609962463379
105,Max Verstappen,5,597.7259979248047
106,Kimi Räikkönen,5,613.3319985866547
107,Lewis Hamilton,5,622.5959997177124
108,Romain Grosjean,5,647.943000793457
109,Nico Rosberg,6,710.4640007019043
110,Felipe Nasr,5,711.3039989471436
111,Felipe Massa,6,712.5209999084473
112,Fernando Alonso,6,713.2020034790039
113,Pascal Wehrlein,6,714.1669979095459
114,Esteban Gutiérrez,6,715.2870006561279
115,Daniil Kvyat,6,716.4870014190674
116,Jolyon Palmer,6,717.3039989471436
117,Rio Haryanto,6,718.4330034563318
118,Sergio Pérez,6,719.2999992370605
119,Valtteri Bottas,6,720.2250032424927
120,Jenson Button,6,721.858998298645
121,Carlos Sainz Jr.,6,722.8569992780685
122,Nico Hülkenberg,6,723.5909985899925
123,Marcus Ericsson,6,725.2649992108345
124,Sebastian Vettel,6,726.8799991607666
125,Kevin Magnussen,6,727.6759961843491
126,Daniel Ricciardo,6,729.1309967041016
127,Max Verstappen,6,729.6959981918335
128,Kimi Räikkönen,6,731.7460000514984
129,Lewis Hamilton,6,748.4379997253418
130,Romain Grosjean,6,757.1380004882812
131,Felipe Nasr,6,825.1239986419678
132,Nico Rosberg,7,857.4330005645752
133,Felipe Massa,7,858.423999786377
134,Fernando Alonso,7,859.17600440979
135,Pascal Wehrlein,7,860.1969985961914
136,Esteban Gutiérrez,7,861.048999786377
137,Daniil Kvyat,7,862.3850021362305
138,Jolyon Palmer,7,863.4259986877441
139,Rio Haryanto,7,864.1620035478845
140,Sergio Pérez,7,864.9679985046387
141,Valtteri Bottas,7,866.1310033798218
142,Jenson Button,7,867.2579984664917
143,Carlos Sainz Jr.,7,867.9269989728928
144,Nico Hülkenberg,7,868.5279988646507
145,Marcus Ericsson,7,870.4309995770454
146,Sebastian Vettel,7,873.3259983062744
147,Kevin Magnussen,7,874.6699956655502
148,Daniel Ricciardo,7,875.3889961242676
149,Max Verstappen,7,876.2929983139038
150,Kimi Räikkönen,7,877.5640008449554
151,Romain Grosjean,7,878.5120004415512
152,Lewis Hamilton,7,879.3459997177124
153,Felipe Nasr,7,929.6819972991943
154,Nico Rosberg,8,1010.4849987030029
155,Felipe Massa,8,1011.1629981994629
156,Fernando Alonso,8,1011.9690036773682
157,Pascal Wehrlein,8,1012.2679977416992
158,Esteban Gutiérrez,8,1013.0709991455078
159,Daniil Kvyat,8,1013.4530029296875
160,Jolyon Palmer,8,1014.0659980773926
161,Sergio Pérez,8,1014.951997756958
162,Rio Haryanto,8,1014.9930029222742
163,Valtteri Bottas,8,1015.2060041427612
164,Jenson Button,8,1015.9249982833862
165,Carlos Sainz Jr.,8,1016.5249985456467
166,Nico Hülkenberg,8,1016.7899979948997
167,Marcus Ericsson,8,1017.7770002484322
168,Sebastian Vettel,8,1018.0399990081787
169,Kevin Magnussen,8,1018.595996260643
170,Daniel Ricciardo,8,1018.9339962005615
171,Max Verstappen,8,1019.2669992446899
172,Kimi Räikkönen,8,1019.8490006923676
173,Romain Grosjean,8,1020.4860013723373
174,Lewis Hamilton,8,1020.6820001602173
175,Felipe Nasr,8,1034.310998916626
176,Nico Rosberg,9,1112.2679996490479
177,Felipe Massa,9,1114.4930000305176
178,Daniil Kvyat,9,1116.212001800537
179,Fernando Alonso,9,1116.7500019073486
180,Pascal Wehrlein,9,1118.072998046875
181,Esteban Gutiérrez,9,1118.583999633789
182,Sergio Pérez,9,1119.0569972991943
183,Valtteri Bottas,9,1119.5330038070679
184,Jolyon Palmer,9,1120.3839988708496
185,Jenson Button,9,1120.5869970321655
186,Carlos Sainz Jr.,9,1120.8550003767014
187,Sebastian Vettel,9,1121.170000076294
188,Nico Hülkenberg,9,1121.7529992461205
189,Rio Haryanto,9,1123.2400045702234
190,Daniel Ricciardo,9,1123.3309955596924
191,Marcus Ericsson,9,1123.658000767231
192,Kevin Magnussen,9,1124.5349954366684
193,Kimi Räikkönen,9,1124.6830003261566
194,Lewis Hamilton,9,1125.0340013504028
195,Max Verstappen,9,1125.6449975967407
196,Romain Grosjean,9,1126.147000670433
197,Felipe Nasr,9,1139.3689975738525
198,Nico Rosberg,10,1213.8490009307861
199,Felipe Massa,10,1217.6230010986328
200,Daniil Kvyat,10,1219.1900024414062
201,Fernando Alonso,10,1220.983003616333
202,Pascal Wehrlein,10,1223.0609970092773
203,Esteban Gutiérrez,10,1223.5719985961914
204,Sergio Pérez,10,1223.8709964752197
205,Valtteri Bottas,10,1224.2970037460327
206,Sebastian Vettel,10,1224.6869983673096
207,Jenson Button,10,1225.3699979782104
208,Carlos Sainz Jr.,10,1226.4580010175705
209,Jolyon Palmer,10,1227.6499977111816
210,Nico Hülkenberg,10,1228.1219987273216
211,Daniel Ricciardo,10,1228.2539958953857
212,Rio Haryanto,10,1229.266005546786
213,Lewis Hamilton,10,1229.6300020217896
214,Kimi Räikkönen,10,1230.1159989833832
215,Marcus Ericsson,10,1230.507999241352
216,Max Verstappen,10,1231.0999994277954
217,Kevin Magnussen,10,1231.6909936666489
218,Romain Grosjean,10,1232.420998930931
219,Felipe Nasr,10,1244.9529972076416
220,Nico Rosberg,11,1315.779001235962
221,Felipe Massa,11,1320.875
222,Daniil Kvyat,11,1321.9360008239746
223,Fernando Alonso,11,1325.2180042266846
224,Pascal Wehrlein,11,1328.1429977416992
225,Sergio Pérez,11,1328.4279956817627
226,Esteban Gutiérrez,11,1328.923999786377
227,Sebastian Vettel,11,1329.1129970550537
228,Valtteri Bottas,11,1329.5420026779175
229,Jenson Button,11,1330.294997215271
230,Carlos Sainz Jr.,11,1330.685002207756
231,Daniel Ricciardo,11,1331.6699962615967
232,Nico Hülkenberg,11,1332.4059991240501
233,Lewis Hamilton,11,1333.2420015335083
234,Kimi Räikkönen,11,1334.504998922348
235,Jolyon Palmer,11,1335.3379974365234
236,Max Verstappen,11,1335.6890001296997
237,Rio Haryanto,11,1336.2430067369714
238,Marcus Ericsson,11,1336.980998814106
239,Kevin Magnussen,11,1337.584994673729
240,Romain Grosjean,11,1338.4279989004135
241,Felipe Nasr,11,1350.3469982147217
242,Nico Rosberg,12,1417.8000011444092
243,Daniil Kvyat,12,1424.718002319336
244,Felipe Massa,12,1425.277000427246
245,Fernando Alonso,12,1429.342004776001
246,Sergio Pérez,12,1431.32399559021
247,Sebastian Vettel,12,1431.853998184204
248,Valtteri Bottas,12,1433.8880033493042
249,Pascal Wehrlein,12,1434.5359992980957
250,Jenson Button,12,1435.1569967269897
251,Esteban Gutiérrez,12,1435.841999053955
252,Carlos Sainz Jr.,12,1436.0860031843185
253,Daniel Ricciardo,12,1436.6269969940186
254,Lewis Hamilton,12,1437.0140008926392
255,Nico Hülkenberg,12,1437.462998330593
