,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,3,3,3,3,2,8,1,0,3,0,14
Kimi Räikkönen,Ferrari,4,4,,Ret,2,0,0,0,0,0,2
Nico Hülkenberg,Force India-Mercedes,10,10,9,7,1,4,1,2,3,0,11
Sergio Pérez,Force India-Mercedes,9,9,8,13,1,0,0,0,3,0,4
Romain Grosjean,Haas-Ferrari,19,19,15,6,0,5,1,9,3,0,18
Esteban Gutiérrez,Haas-Ferrari,20,20,,Ret,0,0,0,0,0,0,0
Pascal Wehrlein,MRT-Mercedes,22,21,16,16,0,0,1,0,3,0,4
Rio Haryanto,MRT-Mercedes,21,22,,Ret,0,0,0,0,0,0,0
Jenson Button,McLaren-Honda,13,12,10,14,1,0,1,0,3,0,5
Fernando Alonso,McLaren-Honda,12,11,,Ret,1,0,0,0,0,0,1
Nico Rosberg,Mercedes,2,2,2,1,2,10,1,1,3,0,17
Lewis Hamilton,Mercedes,1,1,1,2,3,9,0,0,3,0,15
Daniel Ricciardo,Red Bull-TAG Heuer,8,8,7,4,2,7,1,3,3,2,18
Daniil Kvyat,Red Bull-TAG Heuer,18,18,,DNS,0,0,0,0,0,0,0
Jolyon Palmer,Renault,14,13,11,11,1,0,1,0,3,0,5
Kevin Magnussen,Renault,15,14,12,12,1,0,0,0,3,0,4
Felipe Nasr,Sauber-Ferrari,17,17,14,15,0,0,1,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,16,15,,Ret,0,0,0,0,1,0,1
Carlos Sainz Jr.,Toro Rosso-Ferrari,7,7,6,9,2,2,1,0,3,0,8
Max Verstappen,Toro Rosso-Ferrari,5,5,4,10,2,1,0,0,3,0,6
Felipe Massa,Williams-Mercedes,6,6,5,5,2,6,1,0,3,0,12
Valtteri Bottas,Williams-Mercedes,11,16,13,8,1,3,0,5,3,0,12
