,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,6,4,4,2,2,9,1,2,0,0,14
Sebastian Vettel,Ferrari,4,9,9,6,2,5,0,3,0,0,10
Nico Hülkenberg,Force India-Mercedes,3,2,2,8,2,3,1,0,0,0,6
Sergio Pérez,Force India-Mercedes,16,16,15,11,1,0,0,4,0,0,5
Romain Grosjean,Haas-Ferrari,13,13,12,14,1,0,1,0,0,0,2
Esteban Gutiérrez,Haas-Ferrari,11,11,10,19,1,0,0,0,0,0,1
Pascal Wehrlein,MRT-Mercedes,12,12,11,12,1,0,1,0,0,0,2
Rio Haryanto,MRT-Mercedes,19,20,19,21,0,0,0,0,0,0,0
Jenson Button,McLaren-Honda,5,3,3,3,2,8,1,0,0,0,11
Fernando Alonso,McLaren-Honda,14,14,13,13,1,0,0,0,0,0,1
Lewis Hamilton,Mercedes,1,1,1,1,3,10,1,0,0,2,16
Nico Rosberg,Mercedes,2,6,6,4,2,7,0,2,0,0,11
Max Verstappen,Red Bull Racing-TAG Heuer,9,8,8,5,2,6,1,3,0,0,12
Daniel Ricciardo,Red Bull Racing-TAG Heuer,7,5,5,7,2,4,0,0,0,0,6
Kevin Magnussen,Renault,17,17,16,15,0,0,1,1,0,0,2
Jolyon Palmer,Renault,18,19,18,16,0,0,0,2,0,0,2
Marcus Ericsson,Sauber-Ferrari,21,18,17,17,0,0,1,0,0,0,1
Felipe Nasr,Sauber-Ferrari,22,21,20,20,0,0,0,0,0,0,0
Carlos Sainz Jr.,Toro Rosso-Ferrari,15,15,14,10,1,1,1,4,0,0,7
Daniil Kvyat,Toro Rosso-Ferrari,20,PL,,Ret,0,0,0,0,0,0,0
Valtteri Bottas,Williams-Mercedes,8,7,7,9,2,2,1,0,0,0,5
Felipe Massa,Williams-Mercedes,10,PL,21,18,2,0,0,3,0,0,5
