,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,4,3,3,2,2,9,1,1,3,0,16
Kimi Räikkönen,Ferrari,5,4,4,4,2,7,0,0,3,0,12
Sergio Pérez,Force India-Mercedes,2,7,6,3,2,8,1,3,3,0,17
Nico Hülkenberg,Force India-Mercedes,12,12,11,9,1,2,0,2,3,0,8
Romain Grosjean,Haas-Ferrari,11,11,10,13,1,0,1,0,3,0,5
Esteban Gutiérrez,Haas-Ferrari,15,14,12,16,1,0,0,0,3,0,4
Rio Haryanto,MRT-Mercedes,17,16,14,18,0,0,1,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,18,17,,Ret,0,0,0,0,1,0,1
Jenson Button,McLaren-Honda,19,19,15,11,0,0,1,4,3,0,8
Fernando Alonso,McLaren-Honda,14,13,,Ret,1,0,0,0,1,0,2
Nico Rosberg,Mercedes,1,1,1,1,3,10,1,0,3,2,19
Lewis Hamilton,Mercedes,10,10,9,5,2,6,0,4,3,0,15
Daniel Ricciardo,Red Bull Racing-TAG Heuer,3,2,2,7,2,4,1,0,3,0,10
Max Verstappen,Red Bull Racing-TAG Heuer,9,9,8,8,2,3,0,0,3,0,8
Kevin Magnussen,Renault,21,PL,18,14,0,0,1,4,3,0,8
Jolyon Palmer,Renault,22,21,17,15,0,0,0,2,3,0,5
Felipe Nasr,Sauber-Ferrari,16,15,13,12,1,0,1,1,3,0,6
Marcus Ericsson,Sauber-Ferrari,20,20,16,17,0,0,0,0,3,0,3
Carlos Sainz Jr.,Toro Rosso-Ferrari,13,18,,Ret,1,0,0,0,1,0,2
Daniil Kvyat,Toro Rosso-Ferrari,7,6,,Ret,2,0,0,0,0,0,2
Valtteri Bottas,Williams-Mercedes,8,8,7,6,2,5,1,1,3,0,12
Felipe Massa,Williams-Mercedes,6,5,5,10,2,1,0,0,3,0,6
