,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,4,4,3,2,2,9,1,1,1,2,16
Sebastian Vettel,Ferrari,3,DNS,,21,2,0,0,0,0,0,2
Nico Hülkenberg,Force India-Mercedes,8,8,7,15,2,0,1,0,1,0,4
Sergio Pérez,Force India-Mercedes,18,18,17,17,0,0,0,0,1,0,1
Romain Grosjean,Haas-Ferrari,9,9,8,6,1,5,1,2,1,0,10
Esteban Gutiérrez,Haas-Ferrari,13,13,12,19,1,0,0,0,1,0,2
Pascal Wehrlein,MRT-Mercedes,16,16,15,13,0,0,1,2,1,0,4
Rio Haryanto,MRT-Mercedes,21,20,18,16,0,0,0,2,1,0,3
Stoffel Vandoorne,McLaren-Honda,12,12,11,9,1,2,1,2,1,0,7
Jenson Button,McLaren-Honda,14,14,13,20,1,0,0,0,0,0,1
Nico Rosberg,Mercedes,2,2,2,1,2,10,1,1,1,0,15
Lewis Hamilton,Mercedes,1,1,1,4,3,7,0,0,1,0,11
Daniel Ricciardo,Red Bull-TAG Heuer,5,5,4,3,2,8,1,1,1,0,13
Daniil Kvyat,Red Bull-TAG Heuer,15,15,14,8,1,3,0,6,1,0,11
Kevin Magnussen,Renault,19,PL,20,14,0,0,1,6,1,0,8
Jolyon Palmer,Renault,20,DNS,,22,0,0,0,0,0,0,0
Felipe Nasr,Sauber-Ferrari,22,21,19,11,0,0,1,8,1,0,10
Marcus Ericsson,Sauber-Ferrari,17,17,16,12,0,0,0,4,1,0,5
Max Verstappen,Toro Rosso-Ferrari,10,10,9,7,1,4,1,2,1,0,9
Carlos Sainz Jr.,Toro Rosso-Ferrari,11,11,10,18,1,0,0,0,1,0,2
Felipe Massa,Williams-Mercedes,7,7,6,5,2,6,1,1,1,0,11
Valtteri Bottas,Williams-Mercedes,6,6,5,10,2,1,0,0,1,0,4
