,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,4,4,4,6,2,5,1,0,3,0,11
Kimi Räikkönen,Ferrari,3,3,3,9,2,2,0,0,3,0,7
Nico Hülkenberg,Force India-Mercedes,7,7,7,4,2,7,1,3,3,0,16
Sergio Pérez,Force India-Mercedes,6,6,6,5,2,6,0,1,3,0,12
Esteban Gutiérrez,Haas-Ferrari,13,18,14,12,1,0,1,2,3,0,7
Romain Grosjean,Haas-Ferrari,11,11,10,13,1,0,0,0,3,0,4
Esteban Ocon,MRT-Mercedes,18,17,13,16,0,0,1,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,16,15,,Ret,1,0,0,0,0,0,1
Fernando Alonso,McLaren-Honda,22,22,17,7,0,4,1,10,3,0,18
Jenson Button,McLaren-Honda,9,9,,Ret,2,0,0,0,0,0,2
Nico Rosberg,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Lewis Hamilton,Mercedes,21,21,16,3,0,8,0,10,3,2,23
Daniel Ricciardo,Red Bull Racing-TAG Heuer,5,5,5,2,2,9,1,3,3,0,18
Max Verstappen,Red Bull Racing-TAG Heuer,2,2,2,11,2,0,0,0,3,0,5
Jolyon Palmer,Renault,14,13,11,15,1,0,1,0,3,0,5
Kevin Magnussen,Renault,12,12,,Ret,1,0,0,0,0,0,1
Felipe Nasr,Sauber-Ferrari,17,16,12,17,0,0,1,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,20,20,,Ret,0,0,0,0,0,0,0
Daniil Kvyat,Toro Rosso-Ferrari,19,19,15,14,0,0,1,1,3,0,5
Carlos Sainz Jr.,Toro Rosso-Ferrari,15,14,,Ret,1,0,0,0,0,0,1
Valtteri Bottas,Williams-Mercedes,8,8,8,8,2,3,1,0,3,0,9
Felipe Massa,Williams-Mercedes,10,10,9,10,2,1,0,0,3,0,6
