,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,5,5,4,5,2,6,1,0,3,0,12
Kimi Räikkönen,Ferrari,3,3,,Ret,2,0,0,0,0,0,2
Sergio Pérez,Force India-Mercedes,9,9,7,4,2,7,1,3,3,0,16
Nico Hülkenberg,Force India-Mercedes,8,8,6,7,2,4,0,0,3,0,9
Romain Grosjean,Haas-Ferrari,7,DNS,,DNS,2,0,0,0,0,0,2
Esteban Gutiérrez,Haas-Ferrari,12,12,,Ret,1,0,0,0,1,0,2
Esteban Ocon,MRT-Mercedes,20,22,16,12,0,0,1,4,3,0,8
Pascal Wehrlein,MRT-Mercedes,19,19,14,15,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,10,10,8,10,2,1,1,0,3,0,7
Jenson Button,McLaren-Honda,17,17,12,16,0,0,0,0,3,0,3
Lewis Hamilton,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Nico Rosberg,Mercedes,2,2,2,2,2,9,0,0,3,0,14
Max Verstappen,Red Bull Racing-TAG Heuer,4,4,3,3,2,8,1,0,3,2,16
Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,6,5,8,2,3,0,0,3,0,8
Kevin Magnussen,Renault,18,18,13,14,0,0,1,0,3,0,4
Jolyon Palmer,Renault,16,16,,Ret,1,0,0,0,0,0,1
Felipe Nasr,Sauber-Ferrari,22,21,15,9,0,2,1,6,3,0,12
Marcus Ericsson,Sauber-Ferrari,21,20,,Ret,0,0,0,0,0,0,0
Carlos Sainz Jr.,Toro Rosso-Ferrari,15,15,11,6,1,5,1,5,3,0,15
Daniil Kvyat,Toro Rosso-Ferrari,14,14,10,13,1,0,0,0,3,0,4
Valtteri Bottas,Williams-Mercedes,11,11,9,11,1,0,1,0,3,0,5
Felipe Massa,Williams-Mercedes,13,13,,Ret,1,0,0,0,1,0,2
