,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,4,4,4,6,2,5,1,0,0,0,8
Kimi Räikkönen,Ferrari,3,3,3,19,2,0,0,0,0,0,2
Sergio Pérez,Force India-Mercedes,7,7,7,3,2,8,1,4,0,0,15
Nico Hülkenberg,Force India-Mercedes,10,13,13,4,2,7,0,9,0,0,18
Esteban Gutiérrez,Haas-Ferrari,18,18,18,17,0,0,1,1,0,0,2
Romain Grosjean,Haas-Ferrari,14,14,14,21,1,0,0,0,0,0,1
Pascal Wehrlein,MRT-Mercedes,21,21,21,15,0,0,1,6,0,0,7
Rio Haryanto,MRT-Mercedes,20,20,20,18,0,0,0,2,0,0,2
Jenson Button,McLaren-Honda,13,12,12,8,1,3,1,4,0,0,9
Fernando Alonso,McLaren-Honda,12,11,11,13,1,0,0,0,0,0,1
Nico Rosberg,Mercedes,1,1,1,1,3,10,1,0,0,2,16
Lewis Hamilton,Mercedes,22,22,22,20,0,0,0,2,0,0,2
Daniil Kvyat,Red Bull Racing-TAG Heuer,6,6,6,2,2,9,1,4,0,0,16
Daniel Ricciardo,Red Bull Racing-TAG Heuer,2,2,2,7,2,4,0,0,0,0,6
Kevin Magnussen,Renault,17,17,17,14,0,0,1,3,0,0,4
Jolyon Palmer,Renault,19,19,19,16,0,0,0,3,0,0,3
Marcus Ericsson,Sauber-Ferrari,15,15,15,12,1,0,1,3,0,0,5
Felipe Nasr,Sauber-Ferrari,16,16,16,22,1,0,0,0,0,0,1
Carlos Sainz Jr.,Toro Rosso-Ferrari,8,8,8,5,2,6,1,3,0,0,12
Max Verstappen,Toro Rosso-Ferrari,9,9,9,11,2,0,0,0,0,0,2
Felipe Massa,Williams-Mercedes,11,10,10,9,1,2,1,1,0,0,5
Valtteri Bottas,Williams-Mercedes,5,5,5,10,2,1,0,0,0,0,3
