,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,6,6,6,5,2,6,1,1,3,0,13
Kimi Räikkönen,Ferrari,5,5,5,6,2,5,0,0,3,0,10
Nico Hülkenberg,Force India-Mercedes,7,8,8,7,2,4,1,1,3,0,11
Sergio Pérez,Force India-Mercedes,9,9,9,10,2,1,0,0,3,0,6
Esteban Gutiérrez,Haas-Ferrari,11,11,10,11,1,0,1,0,3,0,5
Romain Grosjean,Haas-Ferrari,15,20,19,13,1,0,0,6,3,0,10
Pascal Wehrlein,MRT-Mercedes,18,17,16,17,0,0,1,0,3,0,4
Rio Haryanto,MRT-Mercedes,20,19,18,20,0,0,0,0,3,0,3
Jenson Button,McLaren-Honda,12,12,11,8,1,3,1,3,3,0,11
Fernando Alonso,McLaren-Honda,14,13,12,12,1,0,0,0,3,0,4
Lewis Hamilton,Mercedes,2,2,2,1,2,10,1,1,3,0,17
Nico Rosberg,Mercedes,1,1,1,4,3,7,0,0,3,0,13
Daniel Ricciardo,Red Bull Racing-TAG Heuer,3,3,3,2,2,9,1,1,3,2,18
Max Verstappen,Red Bull Racing-TAG Heuer,4,4,4,3,2,8,0,1,3,0,14
Kevin Magnussen,Renault,17,16,15,16,0,0,1,0,3,0,4
Jolyon Palmer,Renault,16,14,13,19,1,0,0,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,22,22,20,18,0,0,1,2,3,0,6
Felipe Nasr,Sauber-Ferrari,21,21,,Ret,0,0,0,0,1,0,1
Carlos Sainz Jr.,Toro Rosso-Ferrari,13,15,14,14,1,0,1,0,3,0,5
Daniil Kvyat,Toro Rosso-Ferrari,19,18,17,15,0,0,0,2,3,0,5
Valtteri Bottas,Williams-Mercedes,8,7,7,9,2,2,1,0,3,0,8
Felipe Massa,Williams-Mercedes,10,10,,Ret,2,0,0,0,1,0,3
